Year,AR6_GSAT
1850,-0.059
1851,0.049
1852,0.079
1853,0.046
1854,0.049
1855,0.049
1856,-0.051
1857,-0.146
1858,-0.039
1859,0.069
1860,-0.056
1861,-0.091
1862,-0.154
1863,0.001
1864,-0.049
1865,0.034
1866,0.051
1867,0.049
1868,0.061
1869,0.059
1870,0.021
1871,-0.006
1872,0.024
1873,0.016
1874,-0.021
1875,-0.006
1876,-0.044
1877,0.271
1878,0.331
1879,0.084
1880,0.031
1881,0.116
1882,0.064
1883,-0.001
1884,-0.129
1885,-0.134
1886,-0.114
1887,-0.169
1888,-0.011
1889,0.111
1890,-0.146
1891,-0.039
1892,-0.121
1893,-0.119
1894,-0.101
1895,-0.059
1896,0.089
1897,0.089
1898,-0.114
1899,0.016
1900,0.116
1901,0.064
1902,-0.079
1903,-0.169
1904,-0.239
1905,-0.054
1906,0.024
1907,-0.134
1908,-0.174
1909,-0.221
1910,-0.191
1911,-0.209
1912,-0.136
1913,-0.114
1914,0.079
1915,0.136
1916,-0.086
1917,-0.214
1918,-0.061
1919,-0.006
1920,0.034
1921,0.074
1922,-0.009
1923,0.016
1924,0.019
1925,0.056
1926,0.186
1927,0.081
1928,0.091
1929,-0.071
1930,0.136
1931,0.199
1932,0.154
1933,-0.011
1934,0.136
1935,0.089
1936,0.136
1937,0.284
1938,0.286
1939,0.271
1940,0.371
1941,0.356
1942,0.321
1943,0.349
1944,0.471
1945,0.349
1946,0.196
1947,0.241
1948,0.181
1949,0.174
1950,0.096
1951,0.251
1952,0.324
1953,0.389
1954,0.196
1955,0.139
1956,0.076
1957,0.296
1958,0.306
1959,0.286
1960,0.231
1961,0.309
1962,0.261
1963,0.296
1964,0.046
1965,0.154
1966,0.206
1967,0.239
1968,0.171
1969,0.314
1970,0.274
1971,0.154
1972,0.261
1973,0.404
1974,0.184
1975,0.241
1976,0.149
1977,0.454
1978,0.349
1979,0.436
1980,0.541
1981,0.586
1982,0.396
1983,0.571
1984,0.409
1985,0.401
1986,0.441
1987,0.579
1988,0.634
1989,0.524
1990,0.699
1991,0.676
1992,0.474
1993,0.521
1994,0.576
1995,0.726
1996,0.614
1997,0.759
1998,0.901
1999,0.666
2000,0.669
2001,0.811
2002,0.881
2003,0.879
2004,0.804
2005,0.944
2006,0.904
2007,0.921
2008,0.796
2009,0.926
2010,0.996
2011,0.881
2012,0.906
2013,0.936
2014,1.006
2015,1.149
2016,1.264
2017,1.179
2018,1.101
2019,1.226
2020,1.256
