,SSP126_AR6GWP_KyotoGHG,SSP126_AR6GWP_CO2LULUCF,SSP126_AR6GWP_IPCM0EL,SSP119_AR6GWP_KyotoGHG,SSP119_AR6GWP_CO2LULUCF,SSP119_AR6GWP_IPCM0EL,SSP245_AR6GWP_KyotoGHG,SSP245_AR6GWP_CO2LULUCF,SSP245_AR6GWP_IPCM0EL,SSP126_CH4,SSP119_CH4,SSP245_CH4
1750,861.180591,297.4646065,563.7159845,861.180591,297.4646065,563.7159845,861.180591,297.4646065,563.7159845,19.01978312,19.01978312,19.01978312
1751,864.1766824,302.9370985,561.2395839,864.1766824,302.9370985,561.2395839,864.1766824,302.9370985,561.2395839,18.91510887,18.91510887,18.91510887
1752,869.4973629,308.5102686,560.9870943,869.4973629,308.5102686,560.9870943,869.4973629,308.5102686,560.9870943,18.88971181,18.88971181,18.88971181
1753,882.0974616,314.185969,567.9114926,882.0974616,314.185969,567.9114926,882.0974616,314.185969,567.9114926,19.12137723,19.12137723,19.12137723
1754,899.1672876,319.9660859,579.2012017,899.1672876,319.9660859,579.2012017,899.1672876,319.9660859,579.2012017,19.50906107,19.50906107,19.50906107
1755,905.295827,325.8525403,579.4432867,905.295827,325.8525403,579.4432867,905.295827,325.8525403,579.4432867,19.50045493,19.50045493,19.50045493
1756,911.3705915,331.8472885,579.523303,911.3705915,331.8472885,579.523303,911.3705915,331.8472885,579.523303,19.4625366,19.4625366,19.4625366
1757,933.628073,337.9523229,595.6757501,933.628073,337.9523229,595.6757501,933.628073,337.9523229,595.6757501,20.02354066,20.02354066,20.02354066
1758,937.8571982,344.1696723,593.687526,937.8571982,344.1696723,593.687526,937.8571982,344.1696723,593.687526,19.93400533,19.93400533,19.93400533
1759,950.4964545,350.5014029,599.9950516,950.4964545,350.5014029,599.9950516,950.4964545,350.5014029,599.9950516,20.14146621,20.14146621,20.14146621
1760,965.151811,356.9496193,608.2021917,965.151811,356.9496193,608.2021917,965.151811,356.9496193,608.2021917,20.41679714,20.41679714,20.41679714
1761,974.3120065,363.5164642,610.7955424,974.3120065,363.5164642,610.7955424,974.3120065,363.5164642,610.7955424,20.45599017,20.45599017,20.45599017
1762,981.4287649,370.2041201,611.2246448,981.4287649,370.2041201,611.2246448,981.4287649,370.2041201,611.2246448,20.45168738,20.45168738,20.45168738
