ambition,conditionality,country_extension,exclude_hot_air,model,model_version,pathway_id,region,scenario,unit,variable,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00,2020-01-01 00:00:00,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,2026-01-01 00:00:00,2027-01-01 00:00:00,2028-01-01 00:00:00,2029-01-01 00:00:00,2030-01-01 00:00:00,2031-01-01 00:00:00,2032-01-01 00:00:00,2033-01-01 00:00:00,2034-01-01 00:00:00,2035-01-01 00:00:00,2036-01-01 00:00:00,2037-01-01 00:00:00,2038-01-01 00:00:00,2039-01-01 00:00:00,2040-01-01 00:00:00,2041-01-01 00:00:00,2042-01-01 00:00:00,2043-01-01 00:00:00,2044-01-01 00:00:00,2045-01-01 00:00:00,2046-01-01 00:00:00,2047-01-01 00:00:00,2048-01-01 00:00:00,2049-01-01 00:00:00,2050-01-01 00:00:00,2051-01-01 00:00:00,2052-01-01 00:00:00,2053-01-01 00:00:00,2054-01-01 00:00:00,2055-01-01 00:00:00,2056-01-01 00:00:00,2057-01-01 00:00:00,2058-01-01 00:00:00,2059-01-01 00:00:00,2060-01-01 00:00:00,2061-01-01 00:00:00,2062-01-01 00:00:00,2063-01-01 00:00:00,2064-01-01 00:00:00,2065-01-01 00:00:00,2066-01-01 00:00:00,2067-01-01 00:00:00,2068-01-01 00:00:00,2069-01-01 00:00:00,2070-01-01 00:00:00,2071-01-01 00:00:00,2072-01-01 00:00:00,2073-01-01 00:00:00,2074-01-01 00:00:00,2075-01-01 00:00:00,2076-01-01 00:00:00,2077-01-01 00:00:00,2078-01-01 00:00:00,2079-01-01 00:00:00,2080-01-01 00:00:00,2081-01-01 00:00:00,2082-01-01 00:00:00,2083-01-01 00:00:00,2084-01-01 00:00:00,2085-01-01 00:00:00,2086-01-01 00:00:00,2087-01-01 00:00:00,2088-01-01 00:00:00,2089-01-01 00:00:00,2090-01-01 00:00:00,2091-01-01 00:00:00,2092-01-01 00:00:00,2093-01-01 00:00:00,2094-01-01 00:00:00,2095-01-01 00:00:00,2096-01-01 00:00:00,2097-01-01 00:00:00,2098-01-01 00:00:00,2099-01-01 00:00:00,2100-01-01 00:00:00
high,C,2030,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__high__C__2030__include,Mt BC / yr,AR6 climate diagnostics|Infilled|Emissions|BC,11.073025538997776,10.983138401331562,10.89349685693766,10.803855312543758,10.714213768149856,10.624326630483642,10.53468508608974,10.445043541695838,10.355401997301938,10.265514859635722,10.17587331524182,10.08623177084792,9.996590226454018,9.906703088787804,9.8170615443939,9.72742,9.6377784556061,9.547891317939884,9.458249773545983,9.36860822915208,9.27896668475818,9.131028001731403,8.983493522756616,8.835959043781825,8.688424564807036,8.540485881780262,8.397715104293036,8.254944326805813,8.112173549318587,7.969011619016329,7.826240841529104,7.628055337797988,7.42986983406687,7.231141356352928,7.032955852621811,6.834770348890694,6.688024550626482,6.540876709079354,6.394130910815142,6.24738511255093,6.100639314286718,5.926011930492242,5.751861670697204,5.577711410902167,5.40356115110713,5.228933767312654,5.0823360870828616,4.93573840685307,4.789140726623278,4.642141408913405,4.495543728683613,4.445050496154867,4.394557263626121,4.3439256934740085,4.293432460945263,4.242939228416517,4.180675422370444,4.118241030554383,4.055977224508311,3.993713418462239,3.931449612416167,3.893032569921518,3.854720492023849,3.81640841412618,3.778096336228512,3.7396792937338623,3.685755537461167,3.6318317811884713,3.577908024915776,3.523836532324525,3.46991277605183,3.4157146774005955,3.3615165787493613,3.3071699921566164,3.252971893505382,3.198773794854148,3.1539261606363387,3.108955656187796,3.0641080219699863,3.0192603877521766,2.9744127535343674,2.940185450096165,2.906051663880471,2.871917877664777,2.8377840914490835,2.803556788010881,2.789286573068322,2.7750163581257627,2.760746143183204,2.74643683176135,2.732166616818791,2.723222808324828,2.7142789998308645,2.705310687751987,2.6963668792580235,2.6874230707640603,2.659827753253168,2.6321568321326554,2.6045615146217624,2.576966197110869,2.549370879599976
high,C,2030,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__high__C__2030__include,Mt CH4 / yr,AR6 climate diagnostics|Infilled|Emissions|CH4,388.2901666178596,388.2756597768053,388.2611925719287,388.24672536705214,388.2322581621755,388.2177513211212,388.2032841162447,388.18881691136806,388.1743497064915,388.1598428654372,388.1453756605606,388.1309084556841,388.1164412508074,388.10193440975314,388.0874672048765,388.073,388.0585327951234,388.044025954069,388.0295587491925,388.0150915443159,388.00062433943936,385.5373345324649,383.0807750255095,380.6242155185541,378.1676560115986,375.7043662046242,372.9115795102042,370.1187928157842,367.3260061213643,364.5255679565486,361.73278126212864,354.63214303506385,347.53150480799906,340.4114127775724,333.31077455050763,326.21013632344284,324.7347009387589,323.25522326534985,321.77978788066594,320.3043524959821,318.8289171112981,318.1110206901465,317.39508573462643,316.6791507791064,315.9632158235863,315.2453194024347,313.299758725062,311.3541980476893,309.4086373703167,307.4577463897183,305.5121857123456,301.8630894462428,298.2139931801399,294.55489939002035,290.90580312391745,287.2567068578146,284.43524258064065,281.6060482643511,278.78458398717714,275.9631197100031,273.1416554328292,270.07737021161535,267.0214573543939,263.9655444971724,260.90963163995093,257.8453464187371,255.4318950158053,253.0184436128736,250.6049922099418,248.1849286113856,245.7714772084538,242.7796575444636,239.7878378804733,236.78782145028035,233.79600178629008,230.80418212229984,227.40480235176628,223.9961092119984,220.5967294414648,217.19734967093123,213.79796990039767,212.8985560933466,212.0015997010689,211.1046433087912,210.20768691651352,209.30827310946245,207.2259999000537,205.1437266906449,203.06145348123616,200.9734754137194,198.89120220431064,197.02998847132105,195.16877473833136,193.3024617896349,191.4412480566453,189.58003432365564,187.5654107880734,185.5452677359553,183.53064420037308,181.5160206647909,179.5013971292086
high,C,2030,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__high__C__2030__include,Mt CO / yr,AR6 climate diagnostics|Infilled|Emissions|CO,1014.025287802154,1008.7029378595388,1003.3951298566576,998.0873218537764,992.7795138508952,987.45716390828,982.1493559053988,976.8415479025176,971.5337398996364,966.2113899570212,960.90358195414,955.5957739512588,950.2879659483776,944.9656160057624,939.6578080028812,934.35,929.0421919971188,923.7198420545036,918.4120340516224,913.1042260487412,907.79641804586,898.0149574855868,888.2602222273908,878.5054869691949,868.7507517109989,858.9692911507257,849.5290028908163,840.0887146309068,830.6484263709974,821.1822743076361,811.7419860477268,798.0520572289352,784.3621284101437,770.6346929370541,756.9447641182626,743.254835299471,732.0259391055401,720.7662788124479,709.5373826185171,698.3084864245862,687.0795902306554,673.5769459379345,660.1111941159587,646.6454422939829,633.1796904720071,619.6770461792862,605.4834553181317,591.2898644569774,577.096273595823,562.8637961843641,548.6702053232096,542.3167010922779,535.963196861346,529.5922857695075,523.2387815385756,516.8852773076438,510.66960067904216,504.43689479940326,498.2212181708016,492.0055415421999,485.7898649135983,480.2701377003888,474.7654917090733,469.2608457177578,463.75619972644233,458.23647251323285,453.42471736835,448.6129622234671,443.8012070785842,438.9762690428935,434.1645138980106,431.8438866354956,429.5232593729807,427.1962742275546,424.87564696503966,422.5550197025247,419.85809771525504,417.153786900623,414.4568649133534,411.7599429260837,409.0630209388141,405.4055203139324,401.7580128601568,398.1105054063812,394.4629979526056,390.8054973277239,390.2245880390507,389.6436787503775,389.0627694617043,388.48026864073336,387.8993593520602,390.24286947249664,392.5863795929331,394.936310289042,397.2798204094784,399.6233305299149,393.81846409304353,387.9976939125095,382.1928274756381,376.3879610387667,370.58309460189537
high,C,2030,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__high__C__2030__include,Mt CO2 / yr,AR6 climate diagnostics|Infilled|Emissions|CO2|AFOLU,4300.0,4100.0,4400.0,5100.0,5400.0,4600.0,4200.0,4000.0,4000.0,3000.0,3000.0,3000.0,3000.0,3200.0,3200.0,3300.0,3800.0,3700.0,3600.0,3600.0,3500.0,3400.0,3300.0,3200.0,3100.0,3000.0,2900.0,2800.0,2800.0,2700.0,2600.0,2000.0,1800.0,1500.0,1300.0,1000.0,800.0,500.0,300.0,0.0,-200.0,-400.0,-500.0,-700.0,-800.0,-1000.0,-1200.0,-1300.0,-1500.0,-1600.0,-1800.0,-1924.950696344079,-2049.901392688158,-2175.194419707152,-2300.145116051231,-2425.09581239531,-2517.805916860682,-2610.7700216122603,-2703.480126077632,-2796.1902305430035,-2888.900335008376,-2910.8620694938536,-2932.7637992403,-2954.6655289867467,-2976.5672587331933,-2998.5289932186715,-3008.683827936882,-3018.838662655093,-3028.993497373304,-3039.1761535564965,-3049.330988274707,-2971.710571935985,-2894.090155597264,-2816.2570805836413,-2738.63666424492,-2661.016247906198,-2658.513264295189,-2656.0034231948352,-2653.5004395838264,-2650.997455972818,-2648.494472361809,-2633.853404470169,-2619.252339496266,-2604.6512745223627,-2590.0502095484594,-2575.4091416568194,-2580.614009081998,-2585.818876507177,-2591.023743932356,-2596.2428712682886,-2601.447738693468,-2601.066071779122,-2600.6844048647768,-2600.3016922876523,-2599.920025373307,-2599.5383584589617,-2572.723001553955,-2545.8341779177013,-2519.0188210126944,-2492.203464107687,-2465.38810720268
high,C,2030,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__high__C__2030__include,Mt CO2 / yr,AR6 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,31015.113131195874,31323.74397514227,31631.531565416684,31939.319155691097,32247.10674596551,32555.737589911907,32863.52518018632,33171.31277046073,33479.100360735145,33787.73120468154,34095.518794955955,34403.30638523037,34711.09397550478,35019.72481945118,35327.51240972559,35635.3,35943.087590274416,36251.71843422081,36559.506024495226,36867.29361476964,37175.08120504405,37392.97314071767,37610.26974323372,37827.56634574975,38044.86294826579,38262.754883939415,38189.59849656995,38116.44210920049,38043.28572183103,37969.92890600303,37896.77251863357,37890.27610639756,37883.779694161545,37877.26548353585,37870.76907129984,37864.27265906383,37664.29660305451,37463.77266743969,37263.79661143037,37063.82055542106,36863.84449941174,36729.44532275771,36595.41335696886,36461.38139118001,36327.34942539116,36192.95024873713,35929.77899038154,35666.60773202596,35403.43647367037,35139.54419816861,34876.37293981302,34239.56761902756,33602.762298242094,32964.21230534489,32327.406984559428,31690.601663773963,31227.96014400065,30764.051113214264,30301.40959344096,29838.768073667645,29376.126553894333,29050.85511921967,28726.47240431188,28402.089689404085,28077.706974496294,27752.43553982163,27289.95602170599,26827.476503590355,26364.99698547472,25901.250400186163,25438.770882070527,24314.567043417057,23190.363204763587,22063.07935559326,20938.875516939792,19814.67167828632,19232.3193724902,18648.371580924773,18066.01927512865,17483.66696933253,16901.31466353641,16647.91871826125,16395.215111634385,16142.511505007518,15889.807898380652,15636.411953105491,15115.47162799499,14594.531302884488,14073.590977773982,13551.223418896052,13030.283093785549,12910.41989218962,12790.55669059369,12670.365096664622,12550.501895068692,12430.638693472763,11987.889624263296,11543.92754390531,11101.178474695844,10658.429405486377,10215.68033627691
high,C,2030,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__high__C__2030__include,Mt NH3 / yr,AR6 climate diagnostics|Infilled|Emissions|NH3,58.974492702920216,59.39568377259191,59.81572404699127,60.23576432139063,60.65580459579,61.076995665461695,61.49703593986106,61.917076214260426,62.33711648865979,62.75830755833148,63.17834783273085,63.59838810713022,64.01842838152959,64.43961945120128,64.85965972560064,65.2797,65.69974027439937,66.12093134407107,66.54097161847042,66.96101189286979,67.38105216726916,67.27495931270296,67.1691563293241,67.06335334594522,66.95755036256635,66.85145750800015,66.88315371429499,66.91484992058984,66.94654612688468,66.97832917210089,67.01002537839572,67.13890042996452,67.26777548153333,67.3970036154352,67.52587866700401,67.6547537185728,67.5395074203079,67.42394537876007,67.30869908049516,67.19345278223024,67.07820648396533,67.16006999499002,67.24170983521958,67.32334967544912,67.40498951567868,67.48685302670337,67.42639505024867,67.36593707379397,67.30547909733927,67.24485548259291,67.18439750613821,66.8100408895448,66.43568427295138,66.06030202179195,65.68594540519854,65.31158878860512,65.05644821454844,64.80060862522036,64.54546805116368,64.29032747710698,64.0351869030503,63.90136860617,63.76791593305165,63.63446325993331,63.50101058681497,63.36719228993466,63.26089066559754,63.154589041260415,63.048287416923294,62.94169455525922,62.8353929309221,62.58365558653045,62.3319182421388,62.079491206392646,61.827753862001,61.57601651760935,61.15235175491351,60.72752626684043,60.30386150414459,59.88019674144876,59.45653197875292,59.262268974823535,59.06853674412893,58.87480451343433,58.68107228273973,58.48680927881034,58.335548239672114,58.18428720053388,58.03302616139565,57.88135070845156,57.73008966931334,57.3307554970265,56.93142132473968,56.5309930862274,56.13165891394057,55.73232474165373,55.68117725541796,55.6298896390829,55.57874215284712,55.527594666611336,55.47644718037556
high,C,2030,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__high__C__2030__include,Mt NOx / yr,AR6 climate diagnostics|Infilled|Emissions|NOx,175.1817800797313,173.8683631224067,172.5585347360037,171.24870634960072,169.93887796319774,168.62546100587312,167.31563261947014,166.00580423306715,164.69597584666417,163.38255888933955,162.07273050293657,160.76290211653358,159.4530737301306,158.13965677280598,156.829828386403,155.52,154.21017161359703,152.8967546562724,151.58692626986942,150.27709788346644,148.96726949706346,146.8230901734072,144.68476926320358,142.54644835299993,140.4081274427963,138.26394811914005,136.25163316797327,134.23931821680648,132.2270032656397,130.20917512282583,128.19686017165907,125.95685147877926,123.71684278589944,121.47069708290216,119.23068839002234,116.99067969714253,115.28963635528466,113.58393262070938,111.88288927885152,110.18184593699364,108.48080259513578,105.47339077135516,102.47419591977064,99.47500106818616,96.47580621660164,93.46839439282104,91.30064269737078,89.13289100192053,86.96513930647029,84.79144856527908,82.62369686982883,82.04569538681629,81.46769390380375,80.88810885508434,80.3101073720718,79.73210588905926,78.90350592993808,78.07263583394258,77.2440358748214,76.41543591570021,75.58683595657904,74.42847915118948,73.27328725510425,72.11809535901904,70.96290346293381,69.80454665754425,68.54181007602489,67.27907349450554,66.01633691298618,64.75014077918868,63.48740419766932,62.65313273645721,61.81886127524511,60.9823041387968,60.148032677584695,59.31376121637258,58.29746648459255,57.27838738368434,56.262092651904304,55.24579792012426,54.22950318834423,53.3356599451836,52.444258896676416,51.55285784816924,50.661456799662055,49.76761355650143,49.02827964102217,48.28894572554292,47.54961181006366,46.80825232221323,46.06891840673397,45.67835763295326,45.28779685917254,44.896166055874616,44.505605282093896,44.11504450831318,43.64243039905712,43.16852145662501,42.695907347368944,42.22329323811287,41.75067912885681
high,C,2030,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__high__C__2030__include,Mt OC / yr,AR6 climate diagnostics|Infilled|Emissions|OC,39.33917946567288,39.032352730057575,38.72636431885651,38.420375907655455,38.1143874964544,37.80756076083909,37.50157234963803,37.19558393843697,36.88959552723591,36.5827687916206,36.276780380419545,35.97079196921849,35.664803558017425,35.35797682240212,35.05198841120106,34.746,34.440011588798946,34.13318485318364,33.82719644198258,33.52120803078152,33.21521961958046,32.92798745003793,32.641540067843884,32.35509268564984,32.06864530345579,31.781413133913265,31.330994368652608,30.880575603391947,30.43015683813129,29.978504048856216,29.52808528359556,29.076742237419765,28.62539919124397,28.172819588777287,27.721476542601497,27.270133496425704,26.669915776151832,26.06805362376761,25.467835903493743,24.86761818321987,24.267400462946,23.984460954751203,23.70229450532196,23.420128055892725,23.137961606463485,22.855022098268687,22.45803377781294,22.061045457357192,21.664057136901448,21.26598117721157,20.868992856755828,20.69805196650336,20.527111076250883,20.35570185479224,20.18476096453977,20.01382007428729,19.79171989966139,19.56901123140637,19.34691105678048,19.124810882154577,18.90271070752868,18.761733030815243,18.621140539010863,18.480548047206486,18.339955555402103,18.19897787868868,18.12394598792056,18.04891409715244,17.973882206384328,17.89864474879219,17.823612858024074,17.80786906756537,17.792125277106667,17.776338352975472,17.76059456251677,17.744850772058065,17.64081145558765,17.53648709989403,17.432447783423612,17.3284084669532,17.224369150482783,17.125585187650515,17.02707112635604,16.928557065061565,16.83004300376709,16.731259040934823,16.743456115384173,16.755653189833524,16.767850264282874,16.780080755374552,16.792277829823902,16.786096590316138,16.779915350808377,16.773717176397852,16.76753593689009,16.761354697382327,16.614383264504784,16.467009170167305,16.320037737289763,16.17306630441222,16.026094871534678
high,C,2030,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__high__C__2030__include,Mt SO2 / yr,AR6 climate diagnostics|Infilled|Emissions|Sulfur,130.44608928857687,128.46377815887817,126.48688317980708,124.50998820073598,122.53309322166488,120.55078209196618,118.57388711289508,116.596992133824,114.62009715475288,112.6377860250542,110.66089104598308,108.683996066912,106.7071010878409,104.7247899581422,102.7478949790711,100.771,98.7941050209289,96.8117938912302,94.8348989121591,92.858003933088,90.88110895401692,88.7708441140818,86.66634502507547,84.56184593606913,82.45734684706281,80.3470820071277,78.36440621819006,76.3817304292524,74.39905464031476,72.41094686291427,70.42827107397663,67.9063602931001,65.38444951222357,62.85562938674189,60.33371860586536,57.81180782498882,56.66135662381469,55.50775350154145,54.35730230036732,53.20685109919319,52.05639989801906,50.654575942243376,49.25658210656544,47.858588270887495,46.46059443520956,45.05877047943388,43.74058416942216,42.42239785941045,41.10421154939874,39.78241377004453,38.46422746003282,37.58239313236464,36.700558804696456,35.81630849256891,34.93447416490073,34.05263983723255,33.539309157380266,33.02457209210373,32.51124141225146,31.997910732399177,31.484580052546896,30.88470734203917,30.28647362800824,29.68823991397732,29.090006199946384,28.49013348943866,27.745696190477886,27.00125889151712,26.25682159255635,25.51034473935185,24.76590744039108,24.13962584861621,23.513344256841343,22.88534682508901,22.25906523331414,21.63278364153927,20.92523996666092,20.21575781596099,19.508214141082643,18.80067046620429,18.093126791325947,17.810143308553343,17.527933004695416,17.245722700837494,16.963512396979567,16.680528914206963,16.422626054264608,16.16472319432225,15.906820334379894,15.648210891259614,15.390308031317256,15.015466517325606,14.640625003333954,14.26475652629027,13.889915012298616,13.515073498306966,13.373021442031886,13.230580202040986,13.088528145765906,12.946476089490826,12.804424033215748
high,C,2030,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__high__C__2030__include,Mt VOC / yr,AR6 climate diagnostics|Infilled|Emissions|VOC,252.75858743732744,251.0542667579951,249.3546026925408,247.65493862708635,245.955274561632,244.25095388229963,242.55128981684527,240.8516257513909,239.15196168593653,237.4476410066042,235.74797694114983,234.04831287569544,232.3486488102411,230.64432813090875,228.9446640654544,227.245,225.5453359345456,223.8410152552133,222.1413511897589,220.44168712430456,218.74202305885012,216.22499595312016,213.7148459706299,211.20469598813963,208.69454600564936,206.17751889991936,203.2654116340332,200.3533043681469,197.44119710226067,194.5211114603036,191.6090041944173,188.95507055765307,186.30113692088884,183.639932233065,180.9859985963008,178.33206495953652,175.89910203852614,173.4594734656774,171.02651054466702,168.59354762365666,166.16058470264628,162.32310983202083,158.4961198654135,154.66912989880615,150.84213993219882,147.00466506157338,144.89941904141574,142.7941730212581,140.68892700110047,138.57791318362737,136.4726671634697,135.95465016253505,135.43663316160038,134.91719693600564,134.39917993507098,133.8811629341363,132.77833973803695,131.67249510852358,130.5696719124242,129.46684871632482,128.36402552022545,127.34134681800538,126.32146231988972,125.30157782177407,124.28169332365842,123.25901462143834,122.14128786554174,121.02356110964516,119.90583435374856,118.78504533276733,117.66731857687073,116.34846765079725,115.02961672472374,113.70715250844182,112.38830158236831,111.06945065629483,109.77611832994717,108.4792426273629,107.1859103010152,105.89257797466752,104.59924564831984,102.7516543672167,100.90911114972312,99.06656793222956,97.224024714736,95.37643343363288,95.83513788748058,96.2938423413283,96.75254679517604,97.21250797355484,97.67121242740257,98.28309339696402,98.8949743665255,99.50853172230497,100.12041269186642,100.73229366142787,100.27485742051644,99.81616792962988,99.35873168871844,98.90129544780696,98.44385920689552
