ambition,conditionality,country_extension,exclude_hot_air,model,model_version,pathway_id,region,scenario,unit,variable,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00,2020-01-01 00:00:00,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,2026-01-01 00:00:00,2027-01-01 00:00:00,2028-01-01 00:00:00,2029-01-01 00:00:00,2030-01-01 00:00:00,2031-01-01 00:00:00,2032-01-01 00:00:00,2033-01-01 00:00:00,2034-01-01 00:00:00,2035-01-01 00:00:00,2036-01-01 00:00:00,2037-01-01 00:00:00,2038-01-01 00:00:00,2039-01-01 00:00:00,2040-01-01 00:00:00,2041-01-01 00:00:00,2042-01-01 00:00:00,2043-01-01 00:00:00,2044-01-01 00:00:00,2045-01-01 00:00:00,2046-01-01 00:00:00,2047-01-01 00:00:00,2048-01-01 00:00:00,2049-01-01 00:00:00,2050-01-01 00:00:00,2051-01-01 00:00:00,2052-01-01 00:00:00,2053-01-01 00:00:00,2054-01-01 00:00:00,2055-01-01 00:00:00,2056-01-01 00:00:00,2057-01-01 00:00:00,2058-01-01 00:00:00,2059-01-01 00:00:00,2060-01-01 00:00:00,2061-01-01 00:00:00,2062-01-01 00:00:00,2063-01-01 00:00:00,2064-01-01 00:00:00,2065-01-01 00:00:00,2066-01-01 00:00:00,2067-01-01 00:00:00,2068-01-01 00:00:00,2069-01-01 00:00:00,2070-01-01 00:00:00,2071-01-01 00:00:00,2072-01-01 00:00:00,2073-01-01 00:00:00,2074-01-01 00:00:00,2075-01-01 00:00:00,2076-01-01 00:00:00,2077-01-01 00:00:00,2078-01-01 00:00:00,2079-01-01 00:00:00,2080-01-01 00:00:00,2081-01-01 00:00:00,2082-01-01 00:00:00,2083-01-01 00:00:00,2084-01-01 00:00:00,2085-01-01 00:00:00,2086-01-01 00:00:00,2087-01-01 00:00:00,2088-01-01 00:00:00,2089-01-01 00:00:00,2090-01-01 00:00:00,2091-01-01 00:00:00,2092-01-01 00:00:00,2093-01-01 00:00:00,2094-01-01 00:00:00,2095-01-01 00:00:00,2096-01-01 00:00:00,2097-01-01 00:00:00,2098-01-01 00:00:00,2099-01-01 00:00:00,2100-01-01 00:00:00
high,U,rate,exclude,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__high__U__rate__exclude,Mt BC / yr,AR6 climate diagnostics|Infilled|Emissions|BC,11.010833993509577,10.925101282864476,10.839602814598187,10.7541043463319,10.66860587806561,10.58287316742051,10.49737469915422,10.411876230887934,10.326377762621645,10.240645051976545,10.155146583710255,10.069648115443966,9.98414964717768,9.898416936532575,9.81291846826629,9.72742,9.641921531733711,9.556188821088613,9.470690352822322,9.385191884556034,9.299693416289744,9.150843585155158,9.002400447548263,8.853957309941366,8.705514172334471,8.556664341199884,8.425580254855976,8.29449616851207,8.163412082168163,8.031968861341124,7.900884774997216,7.674589336365401,7.4482938977335875,7.221378471598672,6.995083032966858,6.768787594335043,6.608788739104058,6.448351530845042,6.288352675614057,6.128353820383071,5.968354965152086,5.792055300130693,5.6162373281831295,5.440419356235565,5.264601384288001,5.0883017192666085,4.940766135029395,4.793230550792181,4.645694966554968,4.497755175237653,4.350219591000439,4.291218590459069,4.2322175899177,4.173054942799505,4.114053942258135,4.055052941716766,3.9949589183970784,3.934700253917611,3.8746062305979234,3.814512207278236,3.754418183958548,3.698783032845869,3.643299890342788,3.587816747839706,3.5323336053366243,3.4766984542239454,3.433381537448487,3.390064620673028,3.3467477038975693,3.303312110637794,3.2599951938623355,3.220838234806325,3.1816812757503152,3.1424170373544253,3.1032600782984154,3.064103119242405,3.027786488964628,2.991370361069651,2.9550537307918736,2.918737100514096,2.8824204702363185,2.8513222712494586,2.820309040019393,2.789295808789328,2.758282577559263,2.727184378572403,2.715404886350741,2.70362539412908,2.691845901907418,2.680034137104327,2.668254644882665,2.663086588387659,2.6579185318926526,2.652736316338756,2.6475682598437498,2.6424002033487435,2.620297354056416,2.5981339490126025,2.576031099720275,2.553928250427948,2.5318254011356203
high,U,rate,exclude,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__high__U__rate__exclude,Mt CH4 / yr,AR6 climate diagnostics|Infilled|Emissions|CH4,385.5488584721064,385.7174724161124,385.8856256662824,386.0537789164523,386.2219321666223,386.3905461106283,386.55869936079824,386.7268526109682,386.89500586113815,387.0636198051442,387.2317730553141,387.3999263054841,387.5680795556541,387.7366934996601,387.90484674983,388.073,388.24115325016993,388.409767194176,388.5779204443459,388.7460736945159,388.9142269446858,387.1779579095347,385.4464327788512,383.71490764816775,381.9833825174842,380.24711348233313,378.8498298609534,377.4525462395736,376.0552626181938,374.6541508225089,373.2568672011291,362.1026956838005,350.94852416647177,339.763793275123,328.60962175779434,317.45545024046567,312.19391941110234,306.9179734287819,301.6564425994186,296.39491177005533,291.133380940692,286.60752121086455,282.0940272180038,277.5805332251431,273.06703923228235,268.5411795024549,264.34733740482665,260.15349530719834,255.9596532095701,251.75432113359216,247.5604790359639,243.69471090404303,239.8289427721222,235.95258349463444,232.0868153627136,228.22104723079272,225.53575337867235,222.8431025570941,220.15780870497375,217.4725148528534,214.78722100073304,213.40847400184285,212.0334940712557,210.65851414066844,209.28353421008129,207.90478721119104,205.59375430613568,203.28272140108027,200.97168849602488,198.6543239939693,196.34329108891396,195.4581951829085,194.57309927690304,193.6855784506072,192.8004825446017,191.9153866385963,191.04893190805973,190.18010332894636,189.31364859840977,188.4471938678732,187.58073913733665,186.56617396660465,185.55438083185828,184.54258769711188,183.53079456236551,182.51622939163357,181.9856258283219,181.45502226501023,180.92441870169856,180.39236142999428,179.86175786668264,178.67043413611134,177.47911040554007,176.28452277433706,175.0931990437658,173.9018753131945,172.35813036515344,170.81015597889862,169.26641103085757,167.72266608281654,166.1789211347755
high,U,rate,exclude,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__high__U__rate__exclude,Mt CO / yr,AR6 climate diagnostics|Infilled|Emissions|CO,1012.7891818459776,1007.5494044129372,1002.3239433116812,997.0984822104252,991.8730211091691,986.6332436761288,981.4077825748728,976.1823214736168,970.9568603723608,965.7170829393206,960.4916218380644,955.2661607368084,950.0406996355524,944.800922202512,939.575461101256,934.35,929.124538898744,923.8847614657036,918.6593003644476,913.4338392631915,908.2083781619356,898.6423881698289,889.1025347624001,879.5626813549712,870.0228279475424,860.4568379554357,851.5434217536591,842.6300055518825,833.7165893501059,824.7787528299683,815.8653366281917,800.2963950899596,784.7274535517274,769.115857379144,753.5469158409119,737.9779743026797,724.5076407061421,711.0004020860522,697.5300684895145,684.0597348929767,670.5894012964391,659.5192035166652,648.4792521789126,637.43930084116,626.3993495034074,615.3291517236336,602.8408259977675,590.3525002719015,577.8641745460354,565.3416342291397,552.8533085032736,546.3284203931589,539.8035322830442,533.2607677671484,526.7358796570337,520.210991546919,508.04696389695744,495.8496101438453,483.68558249388377,471.5215548439222,459.3575271939607,454.85847443017366,450.3717141602768,445.8849538903799,441.39819362048297,436.899140856696,433.3427076733298,429.78627448996366,426.2298413065976,422.66366447067423,419.1072312873081,417.3347151611426,415.5621990349772,413.78482670024687,412.0123105740814,410.239794447916,408.2913834400615,406.3376343198567,404.3892233120022,402.4408123041477,400.4924012962931,397.3133668591012,394.1430183083497,390.97266975759817,387.8023212068466,384.6232867696548,384.1212160857039,383.619145401753,383.1170747178021,382.6136284977308,382.1115578137799,384.6349291179524,387.15830042212497,389.6885850723363,392.2119563765089,394.7353276806814,389.3809673345791,384.01193750807647,378.6575771619742,373.3032168158719,367.9488564697696
high,U,rate,exclude,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__high__U__rate__exclude,Mt CO2 / yr,AR6 climate diagnostics|Infilled|Emissions|CO2|AFOLU,4300.0,4100.0,4400.0,5100.0,5400.0,4600.0,4200.0,4000.0,4000.0,3000.0,3000.0,3000.0,3000.0,3200.0,3200.0,3300.0,3800.0,3700.0,3600.0,3600.0,3500.0,3400.0,3300.0,3200.0,3100.0,3000.0,2900.0,2800.0,2800.0,2700.0,2600.0,2000.0,1800.0,1500.0,1300.0,1000.0,800.0,500.0,300.0,0.0,-200.0,-400.0,-500.0,-700.0,-800.0,-1000.0,-1200.0,-1300.0,-1500.0,-1600.0,-1800.0,-1924.950696344079,-2049.901392688158,-2175.194419707152,-2300.145116051231,-2425.09581239531,-2517.805916860682,-2610.7700216122603,-2703.480126077632,-2796.1902305430035,-2888.900335008376,-2910.8620694938536,-2932.7637992403,-2954.6655289867467,-2976.5672587331933,-2998.5289932186715,-3008.683827936882,-3018.838662655093,-3028.993497373304,-3039.1761535564965,-3049.330988274707,-2971.710571935985,-2894.090155597264,-2816.2570805836413,-2738.63666424492,-2661.016247906198,-2658.513264295189,-2656.0034231948352,-2653.5004395838264,-2650.997455972818,-2648.494472361809,-2633.853404470169,-2619.252339496266,-2604.6512745223627,-2590.0502095484594,-2575.4091416568194,-2580.614009081998,-2585.818876507177,-2591.023743932356,-2596.2428712682886,-2601.4477386934677,-2601.066071779122,-2600.6844048647768,-2600.3016922876523,-2599.920025373307,-2599.5383584589617,-2572.723001553955,-2545.8341779177013,-2519.0188210126944,-2492.203464107687,-2465.38810720268
high,U,rate,exclude,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__high__U__rate__exclude,Mt CO2 / yr,AR6 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,30630.236034502672,30964.5768651966,31298.00419635311,31631.431527509623,31964.85885866613,32299.19968936006,32632.62702051657,32966.05435167308,33299.481682829595,33633.82251352352,33967.24984468003,34300.67717583654,34634.104506993055,34968.44533768698,35301.87266884349,35635.3,35968.727331156515,36303.06816185044,36636.49549300695,36969.92282416346,37303.350155319975,37567.933648091326,37831.79423514472,38095.654822198114,38359.51540925151,38624.09890202286,38686.27293886806,38748.44697571327,38810.62101255847,38872.96538923065,38935.13942607585,38321.54866212018,37707.9578981645,37092.686063622656,36479.09529966698,35865.504535711305,34987.32194350073,34106.73337158546,33228.550779374884,32350.36818716431,31472.18559495373,30649.630663769887,29829.323150430813,29009.01563709173,28188.708123752655,27366.15319256881,26399.055319003503,25431.95744543819,24464.85957187288,23495.11211509232,22528.01424152701,21815.45303940644,21102.891837285883,20388.378412693757,19675.817210573197,18963.25600845263,18241.387259107883,17517.54078716219,16795.672037817443,16073.803288472696,15351.93453912795,14931.310296445088,14511.835300326931,14092.36030420878,13672.885308090625,13252.261065407763,12901.019260339724,12549.777455271682,12198.53565020364,11846.331538820346,11495.089733752306,11293.685411818768,11092.28108988523,10890.32497528886,10688.920653355322,10487.516331421784,10268.33345968872,10048.550086937208,9829.367215204144,9610.184343471075,9391.001471738013,9038.45414940578,8686.870071123634,8335.28599284149,7983.701914559343,7631.15459222711,7580.216173847749,7529.277755468388,7478.339337089027,7427.261361399038,7376.322943019677,7026.570504632178,6676.818066244679,6326.1074019985845,5976.354963611086,5626.602525223587,5728.065742905906,5829.806942006532,5931.270159688851,6032.73337737117,6134.196595053489
high,U,rate,exclude,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__high__U__rate__exclude,Mt NH3 / yr,AR6 climate diagnostics|Infilled|Emissions|NH3,58.96177787581828,59.38381830243819,59.80470561313838,60.22559292383857,60.64648023453876,61.06852066115867,61.48940797185886,61.91029528255905,62.33118259325924,62.75322301987915,63.17411033057934,63.59499764127953,64.01588495197971,64.43792537859963,64.85881268929981,65.2797,65.7005873107002,66.1226277373201,66.5435150480203,66.96440235872048,67.38528966942067,67.3069189711149,67.22876240040011,67.15060582968533,67.07244925897055,66.99407856066478,67.054964675559,67.11585079045325,67.17673690534748,67.23778983151541,67.29867594640965,67.34452116474414,67.39036638307863,67.43633720475101,67.4821824230855,67.52802764142,67.28861136087068,67.04853914530615,66.80912286475683,66.56970658420751,66.33029030365819,66.20001471811803,66.07009507680065,65.94017543548327,65.8102557941659,65.67998020862574,65.48832463681163,65.2966690649975,65.10501349318339,64.91283283761088,64.72117726579677,64.39823814659603,64.0752990273953,63.75147514348443,63.428536024283694,63.10559690508296,62.89901565827906,62.69186843545652,62.48528718865263,62.27870594184873,62.07212469504483,62.0322934164662,61.99257096651756,61.95284851656893,61.91312606662029,61.87329478804166,61.68008381927136,61.48687285050106,61.29366188173076,61.09992156784054,60.90671059907024,60.72346510221621,60.54021960536219,60.35647206605103,60.173226569197006,59.98998107234298,59.67815440241748,59.365473412848345,59.05364674292285,58.74182007299735,58.42999340307185,58.431813342414365,58.433628309245016,58.43544327607566,58.43725824290631,58.43907818224883,58.34953003070471,58.25998187916058,58.17043372761646,58.08064023867085,57.99109208712673,57.58614007663887,57.181188066151,56.77512659810016,56.37017458761229,55.96522257712443,55.74589835271132,55.52597324001214,55.30664901559904,55.08732479118592,54.868000566772814
high,U,rate,exclude,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__high__U__rate__exclude,Mt NOx / yr,AR6 climate diagnostics|Infilled|Emissions|NOx,174.56957794193215,173.2970564002736,172.02801169342834,170.75896698658306,169.48992227973778,168.21740073807925,166.94835603123397,165.67931132438872,164.41026661754344,163.1377450758849,161.86870036903963,160.59965566219435,159.3306109553491,158.05808941369054,156.7890447068453,155.52,154.25095529315473,152.9784337514962,151.70938904465092,150.44034433780567,149.1712996309604,147.12131508152228,145.0769315827657,143.03254808400914,140.98816458525255,138.93818003581444,137.07970812523456,135.22123621465468,133.3627643040748,131.49920068963033,129.64072877905045,126.74408060977518,123.84743244049992,120.94284824884308,118.04620007956784,115.14955191029256,112.586081493524,110.01558787013414,107.4521174533656,104.88864703659702,102.32517661982844,99.32964497738637,96.34229784762852,93.3549507178707,90.36760358811289,87.37207194567077,84.79860481825466,82.22513769083857,79.65167056342247,77.07115284113672,74.49768571372063,74.03101556892493,73.56434542412921,73.09639673099161,72.6297265861959,72.1630564414002,71.04825554818066,69.9304004059386,68.81559951271906,67.70079861949952,66.58599772627998,65.50018304407153,64.41733506864506,63.3344870932186,62.25163911779213,61.16582443558367,60.328368932200746,59.49091342881783,58.6534579254349,57.81370802341257,56.97625252002965,56.72261636209261,56.46898020415557,56.21464915263515,55.96101299469811,55.70737683676107,55.02300213939945,54.33675244286698,53.65237774550536,52.96800304814375,52.28362835078213,51.53445617679044,50.78733092130693,50.04020566582341,49.293080410339904,48.543908236348216,47.91663145646201,47.2893546765758,46.66207789668959,46.03308255028314,45.40580577039693,44.94745505061972,44.4891043308425,44.02949785566863,43.571147135891415,43.1127964161142,42.47019409382973,41.82583121723764,41.18322889495317,40.5406265726687,39.89802425038423
high,U,rate,exclude,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__high__U__rate__exclude,Mt OC / yr,AR6 climate diagnostics|Infilled|Emissions|OC,39.31098778024016,39.0060442636189,38.70193392600479,38.39782358839069,38.0937132507766,37.78876973415533,37.48465939654123,37.18054905892713,36.87643872131303,36.571495204691765,36.26738486707767,35.96327452946357,35.65916419184946,35.354220675228206,35.0501103376141,34.746,34.441889662385904,34.13694614576464,33.83283580815054,33.52872547053644,33.22461513292234,32.94087786550874,32.657915836530705,32.374953807552664,32.091991778574624,31.808254511161028,31.389157646749776,30.97006078233852,30.55096391792727,30.130718842928587,29.711621978517336,29.164199802898203,28.61677762727907,28.06785566487742,27.520433489258288,26.973011313639155,26.41929590106198,25.86406345995719,25.31034804738001,24.756632634802838,24.202917222225658,23.932167317450865,23.662157166514252,23.39214701557765,23.12213686464104,22.851386959866247,22.4408767099844,22.030366460102545,21.619856210220696,21.208221274722728,20.79771102484088,20.6196761121908,20.44164119954072,20.263118520006667,20.085083607356587,19.907048694706507,19.62378850061524,19.3397522511977,19.05649205710644,18.773231863015173,18.489971668923907,18.401142823138954,18.312556679118444,18.223970535097934,18.135384391077423,18.04655554529247,17.984605984700732,17.922656424108997,17.860706863517258,17.798587578101984,17.736638017510245,17.682355931433925,17.62807384535761,17.573643041237244,17.519360955160927,17.465078869084607,17.376323661825737,17.28732528961547,17.1985700823566,17.109814875097726,17.021059667838855,16.937546974829527,16.854262458577058,16.770977942324585,16.687693426072116,16.604180733062787,16.610845402952865,16.61751007284294,16.624174742733018,16.630857671992654,16.637522341882732,16.658423997814012,16.679325653745288,16.700284574487338,16.721186230418613,16.742087886349893,16.621438493687158,16.500458554743158,16.379809162080424,16.25915976941769,16.138510376754954
high,U,rate,exclude,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__high__U__rate__exclude,Mt SO2 / yr,AR6 climate diagnostics|Infilled|Emissions|Sulfur,129.81748457590012,127.87716456225176,125.94214596940569,124.00712737655962,122.07210878371356,120.1317887700652,118.19677017721916,116.26175158437309,114.32673299152702,112.38641297787863,110.4513943850326,108.51637579218657,106.58135719934047,104.64103718569211,102.70601859284606,100.771,98.83598140715394,96.89566139350558,94.96064280065951,93.02562420781344,91.0906056149674,89.12077859031298,87.15633360670954,85.19188862310608,83.22744363950264,81.25761661484822,79.48135773421663,77.70509885358504,75.92883997295345,74.14771462963522,72.37145574900363,68.97057201742717,65.56968828585072,62.15948706459872,58.758603333022265,55.35771960144581,53.76280636882759,52.16352351091453,50.56861027829631,48.9736970456781,47.37878381305988,45.41197126840305,43.45053252851304,41.48909378862303,39.527655048733024,37.56084250407619,35.971787375585706,34.38273224709521,32.79367711860473,31.200268414419742,29.611213285929253,28.72475163231391,27.83828997869857,26.949399663018525,26.062938009403183,25.17647635578784,24.518891801142736,23.85950564497806,23.20192109033296,22.54433653568785,21.88675198104275,21.56886232394592,21.25184121782477,20.93482011170361,20.61779900558246,20.29990934848563,20.10696312160443,19.91401689472323,19.721070667842028,19.52759582116115,19.33464959427995,19.22170758509509,19.10876557591023,18.995514136563223,18.882572127378364,18.769630118193504,18.44850389124671,18.126497866417868,17.805371639471073,17.484245412524277,17.163119185577482,16.90800632574018,16.65359049557456,16.39917466540894,16.14475883524332,15.889645975406015,15.694742829495356,15.499839683584696,15.304936537674037,15.109499410541703,14.914596264631044,14.497910556607096,14.081224848583144,13.663397535879676,13.246711827855725,12.830026119831777,12.63712675779032,12.443698904346013,12.250799542304556,12.057900180263102,11.865000818221649
high,U,rate,exclude,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__high__U__rate__exclude,Mt VOC / yr,AR6 climate diagnostics|Infilled|Emissions|VOC,252.56068768280613,250.86958680821093,249.18310642780864,247.49662604740632,245.810145667004,244.11904479240883,242.4325644120065,240.74608403160423,239.0596036512019,237.36850277660676,235.6820223962044,233.9955420158021,232.3090616353998,230.6179607608046,228.93148038040232,227.245,225.5585196195977,223.8674187450025,222.1809383646002,220.4944579841979,218.8079776037956,216.32518987080263,213.8491857108507,211.3731815508987,208.89717739094672,206.4143896579538,203.6178307534959,200.821271849038,198.0247129445801,195.22049223490453,192.42393333044663,189.30213280801323,186.18033228557985,183.0499788850028,179.9281783625694,176.806377840136,174.12839389816338,171.44307301388395,168.76508907191138,166.08710512993875,163.40912118796612,159.4758611822377,155.55334778854683,151.63083439485592,147.70832100116505,143.77506099543663,141.07984156269347,138.38462212995034,135.6894026972072,132.9867991016346,130.29157966889144,129.1737574317854,128.05593519467936,126.93505043089633,125.81722819379029,124.69940595668425,123.55021489472206,122.39787536409698,121.2486843021348,120.09949324017262,118.95030217821044,117.95494356161764,116.96230450408652,115.96966544655542,114.97702638902432,113.98166777243148,113.22724246415788,112.47281715588426,111.71839184761065,110.9618996206842,110.20747431241058,109.33052954181088,108.4535847712112,107.5742374121989,106.6972926415992,105.82034787099953,104.96874708463773,104.1148131454366,103.2632123590748,102.411611572713,101.56001078635124,100.02630606330187,98.49679179031553,96.96727751732917,95.4377632443428,93.90405852129344,94.03305260053284,94.16204667977225,94.29104075901164,94.42038824668732,94.5493823259267,95.4058998380458,96.26241735016492,97.1212814856049,97.977798997724,98.8343165098431,98.5988922785738,98.36282304941058,98.12739881814127,97.89197458687195,97.65655035560265
