ambition,conditionality,country_extension,exclude_hot_air,model,model_version,pathway_id,region,scenario,unit,variable,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00,2020-01-01 00:00:00,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,2026-01-01 00:00:00,2027-01-01 00:00:00,2028-01-01 00:00:00,2029-01-01 00:00:00,2030-01-01 00:00:00,2031-01-01 00:00:00,2032-01-01 00:00:00,2033-01-01 00:00:00,2034-01-01 00:00:00,2035-01-01 00:00:00,2036-01-01 00:00:00,2037-01-01 00:00:00,2038-01-01 00:00:00,2039-01-01 00:00:00,2040-01-01 00:00:00,2041-01-01 00:00:00,2042-01-01 00:00:00,2043-01-01 00:00:00,2044-01-01 00:00:00,2045-01-01 00:00:00,2046-01-01 00:00:00,2047-01-01 00:00:00,2048-01-01 00:00:00,2049-01-01 00:00:00,2050-01-01 00:00:00,2051-01-01 00:00:00,2052-01-01 00:00:00,2053-01-01 00:00:00,2054-01-01 00:00:00,2055-01-01 00:00:00,2056-01-01 00:00:00,2057-01-01 00:00:00,2058-01-01 00:00:00,2059-01-01 00:00:00,2060-01-01 00:00:00,2061-01-01 00:00:00,2062-01-01 00:00:00,2063-01-01 00:00:00,2064-01-01 00:00:00,2065-01-01 00:00:00,2066-01-01 00:00:00,2067-01-01 00:00:00,2068-01-01 00:00:00,2069-01-01 00:00:00,2070-01-01 00:00:00,2071-01-01 00:00:00,2072-01-01 00:00:00,2073-01-01 00:00:00,2074-01-01 00:00:00,2075-01-01 00:00:00,2076-01-01 00:00:00,2077-01-01 00:00:00,2078-01-01 00:00:00,2079-01-01 00:00:00,2080-01-01 00:00:00,2081-01-01 00:00:00,2082-01-01 00:00:00,2083-01-01 00:00:00,2084-01-01 00:00:00,2085-01-01 00:00:00,2086-01-01 00:00:00,2087-01-01 00:00:00,2088-01-01 00:00:00,2089-01-01 00:00:00,2090-01-01 00:00:00,2091-01-01 00:00:00,2092-01-01 00:00:00,2093-01-01 00:00:00,2094-01-01 00:00:00,2095-01-01 00:00:00,2096-01-01 00:00:00,2097-01-01 00:00:00,2098-01-01 00:00:00,2099-01-01 00:00:00,2100-01-01 00:00:00
low,C,rate,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__low__C__rate__include,Mt BC / yr,AR6 climate diagnostics|Infilled|Emissions|BC,11.62940573150217,11.502352112642926,11.375645634818817,11.248939156994709,11.1222326791706,10.995179060311356,10.868472582487248,10.74176610466314,10.615059626839033,10.488006007979788,10.361299530155678,10.23459305233157,10.10788657450746,9.980832955648218,9.854126477824108,9.72742,9.600713522175893,9.473659903316648,9.34695342549254,9.22024694766843,9.093540469844324,9.01176997260302,8.930222892020849,8.848675811438675,8.767128730856502,8.6853582336152,8.527209032316001,8.369059831016802,8.210910629717603,8.05232814293539,7.894178941636191,7.727859289906011,7.56153963817583,7.394764316166936,7.228444664436755,7.0621250127065744,6.906029769527558,6.749506868148052,6.593411624969034,6.437316381790018,6.281221138611002,6.138018063508786,5.99520625363909,5.852394443769394,5.709582633899697,5.566379558797482,5.416480320555749,5.266581082314016,5.116681844072283,4.966371922986052,4.816472684744319,4.735828452906928,4.655184221069536,4.574319046131221,4.493674814293829,4.413030582456438,4.351386816273521,4.289574163059967,4.227930396877051,4.166286630694136,4.104642864511219,4.059308135511329,4.014097271891219,3.9688864082711097,3.923675544651,3.878340815651109,3.824957073490833,3.771573331330557,3.71818958917028,3.664659590182168,3.6112758480218914,3.557867329821252,3.504458811620613,3.450903968712574,3.3974954505119346,3.344086932311295,3.298591867561923,3.2529721587995386,3.2074770940501667,3.1619820293007943,3.116486964551422,3.096204432642145,3.075977317486718,3.055750202331292,3.035523087175865,3.015240555266588,2.988676813151866,2.9621130710371446,2.9355493289224226,2.9089128094320444,2.8823490673173224,2.854908025094625,2.827466982871929,2.799950759711636,2.7725097174889397,2.7450686752662423,2.729964411279192,2.714818765746972,2.6997145017599204,2.68461023777287,2.66950597378582
low,C,rate,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__low__C__rate__include,Mt CH4 / yr,AR6 climate diagnostics|Infilled|Emissions|CH4,389.76913625112695,389.6558334827545,389.54284028478753,389.4298470868205,389.3168538888535,389.20355112048105,389.090557922514,388.977564724547,388.86457152658,388.7512687582076,388.6382755602405,388.5252823622735,388.41228916430646,388.2989863959341,388.18599319796704,388.073,387.9600068020329,387.84670403366056,387.7337108356935,387.6207176377265,387.5077244397594,386.5098093698573,385.51462084386185,384.51943231786646,383.5242437918711,382.52632872196887,379.55012480901047,376.5739208960521,373.5977169830937,370.6133590868122,367.6371551738538,361.4634137508401,355.2896723278264,349.0990165447496,342.92527512173587,336.75153369872214,334.1023298775956,331.4458679638085,328.79666414268195,326.14746032155546,323.4982565004289,320.65656022231974,317.8226281416917,314.9886960610637,312.1547639804357,309.3130677023265,306.0602876737822,302.8075076452379,299.5547276166936,296.29303586204367,293.0402558334993,290.3019532308604,287.5636506282215,284.8178458266713,282.0795432240324,279.3412406213935,277.7761640437849,276.20679958514165,274.641723007533,273.0766464299243,271.5115698523157,270.52432051478587,269.5397685798176,268.5552166448493,267.570664709881,266.5834153723512,263.42411775643944,260.2648201405277,257.10552252461594,253.9375692987976,250.77827168288587,248.73289458041592,246.687517477946,244.6365366025925,242.5911595001226,240.54578239765263,239.17356347863463,237.7975850557289,236.4253661367109,235.0531472176929,233.6809282986749,232.45619268310412,231.23480333970707,230.01341399631,228.79202465291291,227.5672890373422,226.203382534168,224.8394760309938,223.4755695278196,222.1079262944997,220.7440197913255,219.7150723403276,218.68612488932965,217.65435840421935,216.62541095322143,215.59646350222351,214.2289689440251,212.85772782539323,211.4902332671948,210.1227387089964,208.75524415079795
low,C,rate,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__low__C__rate__include,Mt CO / yr,AR6 climate diagnostics|Infilled|Emissions|CO,1053.7818871062952,1045.803776012865,1037.8474630371766,1029.891150061488,1021.9348370857994,1013.9567259923692,1006.0004130166806,998.044100040992,990.0877870653034,982.1096759718732,974.1533629961846,966.197050020496,958.2407370448074,950.2626259513772,942.3063129756886,934.35,926.3936870243116,918.4155759308812,910.4592629551928,902.502949979504,894.5466370038155,889.6404534763359,884.7476748218822,879.8548961674286,874.9621175129749,870.0559339854954,859.4769779754722,848.898021965449,838.3190659554258,827.7111265042793,817.132170494256,806.2563412316969,795.3805119691377,784.4748859140784,773.5990566515192,762.72322738896,751.7832266068834,740.8132532199245,729.8732524378479,718.9332516557713,707.9932508736947,695.7784731900024,683.5970692158284,671.4156652416543,659.2342612674803,647.019483583788,634.8817868260929,622.744090068398,610.606393310703,598.4354425892883,586.2977458315933,580.5098503325204,574.7219548334475,568.9182020864321,563.1303065873592,557.3424110882863,553.2745937670238,549.1956317407715,545.1278144195089,541.0599970982464,536.9921797769839,533.8813262795392,530.7789723818141,527.6766184840892,524.5742645863642,521.4634110889194,516.7280311484714,511.9926512080234,507.2572712675754,502.5089176834549,497.7735377430069,493.8077440343818,489.8419503257567,485.8652914288889,481.8994977202638,477.9337040116387,475.55648377135424,473.1727505989045,470.79553035862006,468.4183101183356,466.0410898780511,463.91199449661264,461.7887163156699,459.6654381347272,457.5421599537844,455.413064572346,451.27562024998593,447.1381759276259,443.0007316052659,438.851951819009,434.714507496649,431.43131888966576,428.1481302826826,424.85594663842,421.5727580314368,418.28956942445353,416.6572282846204,415.0204149772808,413.3880738374477,411.7557326976145,410.12339155778136
low,C,rate,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__low__C__rate__include,Mt CO2 / yr,AR6 climate diagnostics|Infilled|Emissions|CO2|AFOLU,4300.0,4100.0,4400.0,5100.0,5400.0,4600.0,4200.0,4000.0,4000.0,3000.0,3000.0,3000.0,3000.0,3200.0,3200.0,3300.0,3800.0,3700.0,3600.0,3600.0,3500.0,3400.0,3300.0,3200.0,3100.0,3000.0,2900.0,2800.0,2800.0,2700.0,2600.0,2000.0,1800.0,1500.0,1300.0,1000.0,800.0,500.0,300.0,0.0,-200.0,-400.0,-500.0,-700.0,-800.0,-1000.0,-1200.0,-1300.0,-1500.0,-1600.0,-1800.0,-1924.950696344079,-2049.901392688158,-2175.194419707152,-2300.145116051231,-2425.09581239531,-2517.805916860682,-2610.7700216122603,-2703.480126077632,-2796.1902305430035,-2888.900335008376,-2910.8620694938536,-2932.7637992403,-2954.6655289867467,-2976.5672587331933,-2998.5289932186715,-3008.683827936882,-3018.838662655093,-3028.993497373304,-3039.1761535564965,-3049.330988274707,-2971.710571935985,-2894.090155597264,-2816.2570805836413,-2738.63666424492,-2661.016247906198,-2658.513264295189,-2656.0034231948352,-2653.5004395838264,-2650.997455972818,-2648.494472361809,-2633.853404470169,-2619.252339496266,-2604.6512745223627,-2590.0502095484594,-2575.4091416568194,-2580.614009081998,-2585.818876507177,-2591.023743932356,-2596.2428712682886,-2601.4477386934677,-2601.066071779122,-2600.6844048647768,-2600.3016922876523,-2599.920025373307,-2599.5383584589617,-2572.723001553955,-2545.8341779177013,-2519.0188210126944,-2492.203464107687,-2465.38810720268
low,C,rate,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__low__C__rate__include,Mt CO2 / yr,AR6 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,29819.572443368423,30208.066016233395,30595.498131249005,30982.930246264616,31370.362361280226,31758.85593414519,32146.2880491608,32533.72016417641,32921.15227919202,33309.64585205699,33697.0779670726,34084.51008208821,34471.94219710382,34860.43576996878,35247.86788498439,35635.3,36022.73211501561,36411.22568788058,36798.65780289619,37186.0899179118,37573.52203292741,37822.053890960335,38069.906700200816,38317.759509441305,38565.612318681786,38814.14417671471,38758.69630671888,38703.24843672304,38647.80056672721,38592.20078475879,38536.75291476296,38137.0573614317,37737.361808100446,37336.571198458696,36936.87564512744,36537.18009179619,36016.13957877945,35493.671557507885,34972.63104449115,34451.59053147442,33930.55001845769,33434.053079639256,32938.91268983398,32443.772300028715,31948.631910223445,31452.13497140501,30952.52230752532,30452.90964364563,29953.29697976594,29452.315514067403,28952.702850187718,28317.20934540649,27681.715840625267,27044.48125774875,26408.98775296753,25773.494248186304,25329.512013562064,24884.313389253923,24440.331154629683,23996.348920005443,23552.366685381203,22998.58343054061,22446.31324470231,21894.04305886401,21341.77287302571,20787.989618185115,20125.0047002252,19462.019782265284,18799.034864305373,18134.233549309956,17471.248631350038,16884.389137887385,16297.529644424732,15709.062316733414,15122.20282327076,14535.343329808107,14169.392261516788,13802.438587558916,13436.487519267595,13070.536450976277,12704.585382684958,12565.08814674725,12425.972050798442,12286.855954849636,12147.739858900828,12008.24262296312,11846.63207534986,11685.0215277366,11523.41098012334,11361.357663886483,11199.747116273224,11106.152040285137,11012.55696429705,10918.705463443242,10825.110387455155,10731.515311467068,10514.328891522577,10296.547440290566,10079.361020346072,9862.17460040158,9644.988180457089
low,C,rate,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__low__C__rate__include,Mt NH3 / yr,AR6 climate diagnostics|Infilled|Emissions|NH3,62.202350937616814,62.40791942763913,62.61292625512039,62.81793308260166,63.022939910082926,63.22850840010524,63.43351522758651,63.638522055067774,63.843528882549045,64.04909737257135,64.25410420005262,64.4591110275339,64.66411785501516,64.86968634503747,65.07469317251874,65.2797,65.48470682748128,65.69027531750359,65.89528214498485,66.10028897246612,66.30529579994739,66.84876083181123,67.39074098653883,67.93272114126643,68.47470129599402,69.01816632785787,69.08739550831942,69.15662468878097,69.22585386924251,69.29527271869162,69.36450189915317,69.4248833092968,69.48526471944044,69.54581155810502,69.60619296824865,69.66657437839228,69.73495750650585,69.80352798565534,69.8719111137689,69.94029424188246,70.00867736999602,69.99362511960187,69.97861399557493,69.96360287154799,69.94859174752105,69.9335394971269,69.9153430805035,69.89714666388011,69.87895024725671,69.86070397743708,69.84250756081369,69.75139170055219,69.6602758402907,69.56891034753532,69.47779448727383,69.38667862701233,69.36720722933622,69.34768248536508,69.32821108768897,69.30873969001284,69.28926829233673,69.2358351884103,69.18254807657111,69.12926096473191,69.07597385289272,69.02254074896629,69.04611624037423,69.06969173178216,69.0932672231901,69.11690730498545,69.14048279639339,68.8381997339012,68.53591667140904,68.23280543614291,67.93052237365075,67.62823931115857,67.47533039570347,67.32200255171288,67.16909363625778,67.0161847208027,66.8632758053476,66.91541807572125,66.96741788087529,67.01941768602934,67.07141749118338,67.12355976155703,67.1737735725543,67.22398738355156,67.27420119454882,67.32455257763101,67.37476638862827,67.44367206337866,67.51257773812905,67.58167219554998,67.65057787030038,67.71948354505076,67.79609651631301,67.87291938612667,67.9495323573889,68.02614532865115,68.1027582999134
low,C,rate,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__low__C__rate__include,Mt NOx / yr,AR6 climate diagnostics|Infilled|Emissions|NOx,179.91072821582495,178.28141510631738,176.6565536719724,175.03169223762745,173.40683080328247,171.7775176937749,170.15265625942993,168.52779482508495,166.90293339074,165.27362028123244,163.64875884688746,162.02389741254248,160.3990359781975,158.76972286868997,157.144861434345,155.52,153.89513856565503,152.26582545614747,150.64096402180252,149.01610258745754,147.39124115311256,145.84482387876227,144.30263178822167,142.7604396976811,141.2182476071405,139.67183033279022,137.25931131733253,134.8467923018748,132.43427328641712,130.01514462982118,127.60262561436348,125.20892972267428,122.81523383098506,120.41497986835972,118.0212839766705,115.6275880849813,113.17906372535624,110.72383107981436,108.2753067201893,105.82678236056424,103.37825800093916,100.9399494902513,98.5083030246746,96.07665655909788,93.64501009352118,91.2067015828333,89.1495845339132,87.0924674849931,85.03535043607299,82.97259745003255,80.91548040111245,80.19028939304594,79.46509838497946,78.73792055223332,78.01272954416683,77.28753853610033,76.70348419242708,76.11782969986707,75.53377535619383,74.9497210125206,74.36566666884735,73.70336092975555,73.04286476918585,72.38236860861618,71.72187244804648,71.05956670895468,70.04744916988665,69.03533163081862,68.02321409175057,67.00832362791797,65.99620608884995,65.05769649372958,64.11918689860921,63.17810604432414,62.23959644920377,61.30108685408341,60.56180365760559,59.82049502771275,59.08121183123493,58.3419286347571,57.60264543827928,57.24173469148242,56.88181003962217,56.52188538776191,56.16196073590165,55.80104998910479,55.18274354622221,54.56443710333964,53.946130660457065,53.32613022732002,52.70782378443744,52.33267414921232,51.95752451398721,51.58134707154229,51.206197436317176,50.831047801092055,50.43863188381905,50.04514085444393,49.65272493717092,49.260309019897925,48.86789310262492
low,C,rate,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__low__C__rate__include,Mt OC / yr,AR6 climate diagnostics|Infilled|Emissions|OC,40.15733842383429,39.79585825170008,39.4353657303094,39.07487320891872,38.71438068752805,38.35290051539384,37.99240799400316,37.63191547261248,37.27142295122181,36.9099427790876,36.54945025769692,36.18895773630624,35.82846521491557,35.46698504278135,35.10649252139068,34.746,34.38550747860933,34.02402730647511,33.66353478508444,33.30304226369376,32.942549742303086,32.76709577537705,32.59212119087431,32.41714660637156,32.24217202186882,32.06671805494278,31.73920077114583,31.41168348734888,31.084166203551924,30.75575161212813,30.428234328331172,30.043065041925654,29.657895755520137,29.271671210795706,28.88650192439018,28.501332637984664,28.17690418641836,27.85158688977928,27.52715843821297,27.202729986646677,26.87830153508037,26.522814933441644,26.168299606670782,25.81378427989992,25.45926895312905,25.103782351490327,24.838147876153823,24.572513400817325,24.306878925480824,24.04051668445847,23.77488220912197,23.37524804771683,22.97561388631169,22.574884836793117,22.17525067538797,21.77561651398284,21.587561050863854,21.39899036729798,21.210934904179,21.022879441060027,20.83482397794105,20.68991961411127,20.545411163843863,20.400902713576464,20.256394263309065,20.11148989947928,19.87273139609125,19.633972892703227,19.395214389315203,19.15580175304118,18.917043249653155,18.79745733173814,18.677871413823127,18.557957863256288,18.438371945341277,18.31878602742626,18.21240932070668,18.105741170954992,17.999364464235413,17.892987757515833,17.786611050796253,17.7344811933463,17.682493767200857,17.630506341055412,17.578518914909967,17.526389057460015,17.446545744738394,17.366702432016773,17.28685911929515,17.206797057771553,17.12695374504993,17.066418260438876,17.005882775827825,16.945181440574,16.88464595596295,16.824110471351894,16.789433930915642,16.754662386259014,16.719985845822762,16.685309305386507,16.650632764950256
low,C,rate,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__low__C__rate__include,Mt SO2 / yr,AR6 climate diagnostics|Infilled|Emissions|Sulfur,137.18820446160635,134.75551659284417,132.32947541224803,129.9034342316519,127.47739305105571,125.04470518229355,122.6186640016974,120.19262282110124,117.7665816405051,115.33389377174294,112.90785259114678,110.48181141055062,108.05577022995448,105.6230823611923,103.19704118059616,100.771,98.34495881940384,95.91227095064168,93.48622977004553,91.06018858944938,88.63414740885322,87.33023234670453,86.02987989401525,84.72952744132598,83.4291749886367,82.12525992648801,79.73494790471824,77.34463588294847,74.95432386117868,72.55746303934926,70.16715101757949,67.82763666068278,65.48812230378608,63.14219831851433,60.80268396161764,58.46316960472094,56.256082134602295,54.04294784949703,51.83586037937839,49.628772909259744,47.4216854391411,45.82983718271755,44.24233823847001,42.65483929422247,41.06734034997494,39.47549209355138,38.00722156351012,36.53895103346887,35.07068050342761,33.59838731439994,32.130116784358684,31.66015957704601,31.19020236973334,30.718957608428028,30.249000401115357,29.77904319380268,29.36752056113076,28.954870469191235,28.54334783651931,28.131825203847384,27.72030257117546,27.436386493164456,27.15324614214255,26.870105791120647,26.58696544009874,26.303049362087737,25.80204851319676,25.301047664305777,24.8000468154148,24.297673361458365,23.796672512567383,23.48698237493468,23.17729223730197,22.866753633538764,22.557063495906057,22.24737335827335,21.933245065882534,21.61825614803312,21.304127855642307,20.98999956325149,20.67587127086068,20.47200416372064,20.268694070534536,20.06538397734844,19.86207388416233,19.658206777022293,19.43433463546366,19.210462493905027,18.9865903523464,18.762104862454727,18.538232720896094,18.362072922304684,18.18591312371327,18.009270695536678,17.833110896945264,17.656951098353854,17.403888079096557,17.150131736498828,16.89706871724153,16.644005697984234,16.390942678726937
low,C,rate,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__low__C__rate__include,Mt VOC / yr,AR6 climate diagnostics|Infilled|Emissions|VOC,259.2993504123781,257.15810342370673,255.02270683664375,252.8873102495808,250.75191366251784,248.61066667384648,246.4752700867835,244.3398734997205,242.2044769126576,240.0632299239862,237.92783333692324,235.7924367498603,233.6570401627973,231.51579317412595,229.38039658706296,227.245,225.10960341293705,222.9683564242657,220.8329598372027,218.69756325013967,216.5621666630768,215.2293813566477,213.9002375401269,212.5710937236061,211.24194990708537,209.9091646006563,207.55697896498955,205.20479332932277,202.85260769365595,200.49397771378187,198.1417920781151,195.2907113741436,192.439630670172,189.58073878618964,186.7296580822181,183.87857737824655,181.20308820602008,178.52026892647245,175.84477975424596,173.16929058201947,170.49380140979298,167.49352844994846,164.5014529572073,161.50937746446624,158.51730197172512,155.5170290118806,153.36841078894108,151.21979256600156,149.07117434306204,146.91666949485418,144.76805127191466,144.37640525950056,143.98475924708643,143.5920402318986,143.20039421948448,142.80874820707038,142.76570238241518,142.7225386239938,142.6794927993386,142.6364469746834,142.5934011500282,142.02961579234633,141.46737083181662,140.9051258712869,140.3428809107572,139.77909555307534,138.18861059337843,136.59812563368152,135.0076406739846,133.4127982212474,131.8223132615505,129.87608673011707,127.9298601986836,125.97830153976678,124.03207500833334,122.08584847689988,121.1504648919488,120.21251861224444,119.27713502729335,118.34175144234229,117.4063678573912,117.04406917750885,116.68276038472996,116.32145159195112,115.96014279917226,115.5978441192899,114.9040365026366,114.21022888598333,113.51642126933004,112.8207128098914,112.12690519323812,110.9810865665622,109.8352679398863,108.6863100840962,107.54049145742027,106.39467283074438,106.31519286689152,106.23549514971305,106.15601518586018,106.07653522200734,105.99705525815448
