ambition,conditionality,country_extension,exclude_hot_air,model,model_version,pathway_id,region,scenario,unit,variable,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00,2020-01-01 00:00:00,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,2026-01-01 00:00:00,2027-01-01 00:00:00,2028-01-01 00:00:00,2029-01-01 00:00:00,2030-01-01 00:00:00,2031-01-01 00:00:00,2032-01-01 00:00:00,2033-01-01 00:00:00,2034-01-01 00:00:00,2035-01-01 00:00:00,2036-01-01 00:00:00,2037-01-01 00:00:00,2038-01-01 00:00:00,2039-01-01 00:00:00,2040-01-01 00:00:00,2041-01-01 00:00:00,2042-01-01 00:00:00,2043-01-01 00:00:00,2044-01-01 00:00:00,2045-01-01 00:00:00,2046-01-01 00:00:00,2047-01-01 00:00:00,2048-01-01 00:00:00,2049-01-01 00:00:00,2050-01-01 00:00:00,2051-01-01 00:00:00,2052-01-01 00:00:00,2053-01-01 00:00:00,2054-01-01 00:00:00,2055-01-01 00:00:00,2056-01-01 00:00:00,2057-01-01 00:00:00,2058-01-01 00:00:00,2059-01-01 00:00:00,2060-01-01 00:00:00,2061-01-01 00:00:00,2062-01-01 00:00:00,2063-01-01 00:00:00,2064-01-01 00:00:00,2065-01-01 00:00:00,2066-01-01 00:00:00,2067-01-01 00:00:00,2068-01-01 00:00:00,2069-01-01 00:00:00,2070-01-01 00:00:00,2071-01-01 00:00:00,2072-01-01 00:00:00,2073-01-01 00:00:00,2074-01-01 00:00:00,2075-01-01 00:00:00,2076-01-01 00:00:00,2077-01-01 00:00:00,2078-01-01 00:00:00,2079-01-01 00:00:00,2080-01-01 00:00:00,2081-01-01 00:00:00,2082-01-01 00:00:00,2083-01-01 00:00:00,2084-01-01 00:00:00,2085-01-01 00:00:00,2086-01-01 00:00:00,2087-01-01 00:00:00,2088-01-01 00:00:00,2089-01-01 00:00:00,2090-01-01 00:00:00,2091-01-01 00:00:00,2092-01-01 00:00:00,2093-01-01 00:00:00,2094-01-01 00:00:00,2095-01-01 00:00:00,2096-01-01 00:00:00,2097-01-01 00:00:00,2098-01-01 00:00:00,2099-01-01 00:00:00,2100-01-01 00:00:00
low,U,SSP1BL,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__low__U__SSP1BL__include,Mt BC / yr,AR6 climate diagnostics|Infilled|Emissions|BC,11.36491598660365,11.25553041786904,11.146443716808566,11.037357015748093,10.92827031468762,10.818884745953008,10.709798044892535,10.600711343832062,10.491624642771589,10.382239074036978,10.273152372976504,10.164065671916031,10.054978970855558,9.945593402120949,9.836506701060474,9.72742,9.618333298939527,9.508947730204916,9.399861029144445,9.29077432808397,9.181687627023496,9.10648205736478,9.031481967404586,8.956481877444391,8.881481787484196,8.80627621782548,8.70274234963372,8.59920848144196,8.495674613250198,8.391857090625036,8.288323222433275,8.055984548793282,7.823645875153288,7.590670657201952,7.358331983561959,7.125993309921965,6.957131402732205,6.7878068601802815,6.618944952990522,6.450083045800762,6.281221138611002,6.123352313179215,5.965914823336038,5.808477333492863,5.651039843649686,5.4931710182178985,5.336791629884217,5.180412241550535,5.024032853216853,4.867225028202804,4.710845639869122,4.644107802039471,4.577369964209821,4.510449282988857,4.443711445159206,4.376973607329556,4.305293348845888,4.233416706092402,4.161736447608734,4.090056189125067,4.018375930641399,3.973966191690754,3.9296777908246727,3.885389389958592,3.841100989092511,3.7966912501418655,3.753167757860002,3.709644265578138,3.6661207732962735,3.6224780385698025,3.578954546287939,3.521397073517937,3.4638396007479355,3.4061244362717145,3.348566963501713,3.291009490731711,3.253515238070177,3.2159182614287496,3.178424008767216,3.1409297561056824,3.1034355034441488,3.080086459511301,3.0568012107804554,3.0335159620496097,3.010230713318764,2.9868816693859164,2.9647494368484706,2.942617204311025,2.9204849717735795,2.898292102982607,2.876159870445161,2.846285375512256,2.81641088057935,2.7864545377151217,2.756580042782216,2.7267055478493107,2.7069889719063727,2.687218377947153,2.6675018020042147,2.6477852260612766,2.6280686501183386
low,U,SSP1BL,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__low__U__SSP1BL__include,Mt CH4 / yr,AR6 climate diagnostics|Infilled|Emissions|CH4,383.96326538773656,384.2377977600834,384.5115800439812,384.7853623278791,385.0591446117768,385.3336769841237,385.6074592680216,385.88124155191935,386.1550238358172,386.429556208164,386.70333849206185,386.9771207759597,387.2509030598575,387.5254354322044,387.7992177161021,388.073,388.3467822838978,388.62131465624464,388.8950969401425,389.16887922404027,389.4426615079381,390.4896847938275,391.53384736035656,392.57800992688567,393.6221724934147,394.6691957793041,394.4356407432707,394.2020857072373,393.96853067120384,393.73433575835935,393.50078072232594,384.63075000035695,375.760719278388,366.8663871023862,357.9963563804173,349.1263256584483,344.2274016844702,339.31505600097427,334.41613202699614,329.517208053018,324.6182840790399,319.874669326874,315.14401527075233,310.41336121463064,305.68270715850895,300.9390924063431,296.4814820261414,292.0238716459398,287.5662612657381,283.0964382543578,278.6388278741561,277.5167679914605,276.3947081087648,275.2695740894043,274.1475142067086,273.02545432401297,270.4014010861871,267.77015866140835,265.14610542358247,262.52205218575665,259.8979989479308,258.2267292050067,256.5600257728556,254.89332234070451,253.22661890855343,251.55534916562937,250.60685084678337,249.65835252793732,248.70985420909136,247.75875726471423,246.81025894586827,244.32543467067293,241.84061039547765,239.348978382542,236.8641541073467,234.37932983215137,232.6830939205297,230.98221078723236,229.28597487561063,227.58973896398896,225.8935030523673,225.158341614292,224.4251888140256,223.6920360137593,222.9588832134929,222.2237217754176,221.57209217513744,220.9204625748573,220.26883297457715,219.6154180877209,218.9637884874408,217.20656940657696,215.44935032571317,213.6873169459976,211.9300978651338,210.17287878427,208.49583217363408,206.81419091474987,205.137144304114,203.46009769347808,201.78305108284215
low,U,SSP1BL,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__low__U__SSP1BL__include,Mt CO / yr,AR6 climate diagnostics|Infilled|Emissions|CO,1046.041458741649,1038.5804122186623,1031.1397510686895,1023.6990899187164,1016.2584287687436,1008.7973822457568,1001.356721095784,993.916059945811,986.475398795838,979.0143522728514,971.5736911228784,964.1330299729055,956.6923688229324,949.231322299946,941.790661149973,934.35,926.9093388500272,919.4482923270403,912.0076311770677,904.5669700270944,897.1263088771216,894.6855896196114,892.2515389939524,889.8174883682933,887.3834377426343,884.9427184851241,875.9507154111781,866.958712337232,857.9667092632858,848.9500705644796,839.9580674905335,826.0901693466421,812.2222712027509,798.3163788173695,784.4484806734781,770.5805825295868,758.2563159182101,745.8982841928298,733.5740175814532,721.2497509700765,708.9254843586999,695.5232449468438,682.1576236754571,668.7920024040704,655.4263811326838,642.0241417208276,629.6502108989753,617.2762800771229,604.9023492552706,592.4945172530844,580.120586431232,575.0937008015652,570.0668151718984,565.0261572528353,559.9992716231685,554.9723859935017,549.1115630332496,543.2346830237914,537.3738600635393,531.5130371032872,525.652214143035,521.7183622250886,517.7952585364263,513.8721548477639,509.9490511591016,506.0151992411552,503.8451269272701,501.6750546133851,499.50498229950006,497.3289645820154,495.15889226813033,491.14392518642507,487.1289581047198,483.1029911132016,479.08802403149633,475.0730569497911,472.1078515826401,469.1345223651682,466.1693169980172,463.2041116308663,460.2389062637153,456.8185552350054,453.4075494276855,449.9965436203655,446.5855378130455,443.1651867843356,440.8111242840668,438.457061783798,436.1029992835292,433.7424872969583,431.3884247966895,427.59374204870073,423.799059300712,419.9939801616329,416.1992974136442,412.40461466565546,407.30454125473983,402.19049503995865,397.090421629043,391.9903482181274,386.89027480721177
low,U,SSP1BL,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__low__U__SSP1BL__include,Mt CO2 / yr,AR6 climate diagnostics|Infilled|Emissions|CO2|AFOLU,4300.0,4100.0,4400.0,5100.0,5400.0,4600.0,4200.0,4000.0,4000.0,3000.0,3000.0,3000.0,3000.0,3200.0,3200.0,3300.0,3800.0,3700.0,3600.0,3600.0,3500.0,3400.0,3300.0,3200.0,3100.0,3000.0,2900.0,2800.0,2800.0,2700.0,2600.0,2000.0,1800.0,1500.0,1300.0,1000.0,800.0,500.0,300.0,0.0,-200.0,-400.0,-500.0,-700.0,-800.0,-1000.0,-1200.0,-1300.0,-1500.0,-1600.0,-1800.0,-1924.950696344079,-2049.901392688158,-2175.194419707152,-2300.145116051231,-2425.09581239531,-2517.805916860682,-2610.7700216122603,-2703.480126077632,-2796.1902305430035,-2888.900335008376,-2910.8620694938536,-2932.7637992403,-2954.6655289867467,-2976.5672587331933,-2998.5289932186715,-3008.683827936882,-3018.838662655093,-3028.993497373304,-3039.1761535564965,-3049.330988274707,-2971.710571935985,-2894.090155597264,-2816.2570805836413,-2738.63666424492,-2661.016247906198,-2658.513264295189,-2656.0034231948352,-2653.5004395838264,-2650.997455972818,-2648.494472361809,-2633.853404470169,-2619.252339496266,-2604.6512745223627,-2590.0502095484594,-2575.4091416568194,-2580.614009081998,-2585.818876507177,-2591.023743932356,-2596.2428712682886,-2601.4477386934677,-2601.066071779122,-2600.6844048647768,-2600.3016922876523,-2599.920025373307,-2599.5383584589617,-2572.723001553955,-2545.8341779177013,-2519.0188210126944,-2492.203464107687,-2465.38810720268
low,U,SSP1BL,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__low__U__SSP1BL__include,Mt CO2 / yr,AR6 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,29054.354544512888,29493.965064080014,29932.37446200898,30370.783859937943,30809.193257866908,31248.803777434037,31687.213175363,32125.622573291963,32564.031971220928,33003.64249078806,33442.05188871702,33880.46128664598,34318.87068457495,34758.481204142074,35196.89060207104,35635.3,36073.70939792896,36513.31991749609,36951.72931542506,37390.13871335403,37828.54811128299,38303.58136935796,38777.31672235622,39251.05207535448,39724.78742835274,40199.82068642771,40407.305624781846,40614.79056313599,40822.27550149013,41030.32889173017,41237.81383008431,40632.13246133549,40026.45109258666,39419.110322827575,38813.42895407875,38207.747585329926,37406.094500732775,36602.24510631481,35800.59202171765,34998.9389371205,34197.28585252335,33414.014401875414,32632.883037158204,31851.751672440994,31070.620307723788,30287.348857075845,29470.755080296112,28654.161303516372,27837.56752673664,27018.736506732854,26202.14272995312,25582.006240938117,24961.869751923103,24340.034258828608,23719.8977698136,23099.761280798597,22677.31918586933,22253.71971533753,21831.277620408277,21408.83552547901,20986.39343054976,20500.07151076911,20015.078339403164,19530.08516803722,19045.091996671275,18558.77007689063,18115.029737019937,17671.28939714924,17227.54905727855,16782.592990449302,16338.85265057861,15866.874269612215,15394.89588864582,14921.624416224724,14449.646035258327,13977.667654291934,13615.442905113308,13252.22575936159,12890.001010182965,12527.776261004336,12165.551511825712,11944.670388404302,11724.39276532011,11504.115142235916,11283.837519151724,11062.956395730314,11009.860296088464,10956.764196446611,10903.668096804762,10850.42652839677,10797.33042875492,10577.760538934604,10358.190649114287,10138.019197951997,9918.44930813168,9698.879418311364,9576.598578209452,9453.98272210726,9331.701882005347,9209.421041903435,9087.140201801523
low,U,SSP1BL,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__low__U__SSP1BL__include,Mt NH3 / yr,AR6 climate diagnostics|Infilled|Emissions|NH3,61.95181161509963,62.17411625990225,62.39581351496496,62.617510770027685,62.8392080250904,63.06151266989302,63.28320992495574,63.504907180018456,63.72660443508118,63.94890907988379,64.17060633494651,64.39230359000923,64.61400084507196,64.83630548987456,65.05800274493728,65.2797,65.50139725506273,65.72370189986535,65.94539915492805,66.16709640999078,66.3887936650535,67.17747339893057,67.96399827014676,68.75052314136298,69.53704801257916,70.32572774645624,70.37356032633768,70.42139290621913,70.46922548610057,70.51718911414608,70.56502169402752,70.69862002239445,70.83221835076138,70.96618270194577,71.0997810303127,71.23337935867963,70.98921198896738,70.7443756675573,70.50020829784506,70.25604092813282,70.01187355842058,69.94338878575695,69.87509112995853,69.8067934741601,69.73849581836168,69.67001104569806,69.56830383266684,69.46659661963562,69.36488940660442,69.26290354367448,69.16119633064326,69.14474325866331,69.12829018668336,69.11179203779386,69.09533896581391,69.07888589383396,68.96085127666584,68.84249327698492,68.72445865981682,68.6064240426487,68.48838942548058,68.54745917590155,68.60636753356181,68.66527589122205,68.72418424888231,68.78325399930328,68.71259917684245,68.64194435438161,68.57128953192078,68.50044113460389,68.42978631214305,68.22927323443115,68.02876015671924,67.8276977281095,67.6271846503976,67.42667157268569,67.21396077114846,67.00066720029196,66.78795639875473,66.5752455972175,66.36253479568028,66.50890817533922,66.65488162773133,66.80085508012345,66.94682853251557,67.09320191217451,67.14459208800382,67.19598226383313,67.24737243966244,67.29890341049403,67.35029358632335,67.31790972073297,67.2855258551426,67.2530532666328,67.22066940104243,67.18828553545205,66.96924786564792,66.74961009263882,66.53057242283468,66.31153475303053,66.09249708322639
low,U,SSP1BL,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__low__U__SSP1BL__include,Mt NOx / yr,AR6 climate diagnostics|Infilled|Emissions|NOx,178.57432948519804,177.03428849385244,175.49845526477827,173.96262203570413,172.42678880663,170.8867478152844,169.35091458621025,167.81508135713608,166.27924812806194,164.73920713671637,163.2033739076422,161.66754067856806,160.1317074494939,158.59166645814832,157.05583322907415,155.52,153.98416677092587,152.44412577958028,150.90829255050613,149.37245932143196,147.83662609235782,146.7530787174731,145.67249185454162,144.5919049916101,143.51131812867862,142.4277707537939,140.4941579578381,138.5605451618823,136.6269323659265,134.6880220006667,132.7544092047109,129.67247072473594,126.59053224476102,123.50015009771764,120.41821161774271,117.33627313776778,114.61523561678771,111.88674319848994,109.16570567750988,106.44466815652984,103.7236306355498,101.05119469456147,98.38606049111688,95.72092628767224,93.05579208422762,90.38335614323933,88.24331073756727,86.10326533189522,83.96321992622318,81.8173113824534,79.67726597678136,79.0034434868492,78.32962099691706,77.65395241797138,76.98012992803923,76.30630743810708,75.43069492397967,74.5526834714574,73.67707095732999,72.80145844320259,71.92584592907518,71.21536743626373,70.50683014152008,69.79829284677642,69.08975555203277,68.37927705922132,67.68999521114863,67.00071336307592,66.31143151500322,65.62026122351114,64.93097937543844,64.13236261947394,63.33374586350945,62.53294111643272,61.73432436046822,60.935707604503726,60.18791537793154,59.43807440553313,58.69028217896094,57.94248995238876,57.194697725816575,56.65012615125892,56.10704247717819,55.56395880309746,55.02087512901673,54.47630355445907,54.06424804580767,53.652192537156274,53.24013702850488,52.82695260065169,52.41489709200029,51.994121892709416,51.57334669341854,51.15141868536249,50.73064348607162,50.30986828678075,49.87585131635773,49.44064525834452,49.0066282879215,48.572611317498485,48.13859434707547
low,U,SSP1BL,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__low__U__SSP1BL__include,Mt OC / yr,AR6 climate diagnostics|Infilled|Emissions|OC,40.10929079492133,39.75102022895287,39.39372854431219,39.03643685967151,38.679145175030825,38.320874609062365,37.96358292442169,37.60629123978101,37.24899955514032,36.89072898917186,36.53343730453118,36.176145619890505,35.81885393524983,35.46058336928136,35.10329168464068,34.746,34.388708315359324,34.03043774939086,33.67314606475018,33.3158543801095,32.95856269546882,32.899584873678364,32.840768193477494,32.78195151327663,32.72313483307576,32.664157011285305,32.36248031484664,32.060803618407974,31.759126921969305,31.456623714033547,31.15494701759488,30.68268728029473,30.21042754299457,29.736873943400443,29.264614206100287,28.79235446880013,28.41267721065139,28.031959740836488,27.652282482687745,27.272605224539006,26.892927966390264,26.50827432019661,26.12467164024939,25.741068960302165,25.35746628035494,24.97281263416129,24.6556409252774,24.338469216393506,24.021297507509605,23.703256835039728,23.386085126155837,22.974801913955048,22.563518701754266,22.15110868623238,21.7398254740316,21.32854226183081,21.03346908634687,20.737587491204067,20.442514315720125,20.147441140236182,19.85236796475224,19.747886048975523,19.643689602914044,19.53949315685257,19.43529671079109,19.330814795014373,19.22903947961848,19.127264164222595,19.025488848826704,18.92343469695028,18.82165938155439,18.703788979683143,18.58591857781189,18.46772524333278,18.34985484146153,18.23198443959028,18.127480605785703,18.02269046010769,17.91818662630311,17.813682792498536,17.709178958693958,17.64443574547017,17.579869426271586,17.515303107073,17.450736787874416,17.385993574650627,17.328537508047486,17.271081441444345,17.213625374841204,17.156011894356958,17.098555827753817,17.017194018235372,16.93583220871693,16.854247490131314,16.772885680612873,16.69152387109443,16.6395406682375,16.587415045646715,16.535431842789787,16.483448639932856,16.43146543707593
low,U,SSP1BL,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__low__U__SSP1BL__include,Mt SO2 / yr,AR6 climate diagnostics|Infilled|Emissions|Sulfur,132.3082392206917,130.2015355238906,128.10058784811903,125.99964017234744,123.89869249657588,121.79198879977478,119.6910411240032,117.59009344823164,115.48914577246006,113.38244207565896,111.2814943998874,109.1805467241158,107.07959904834424,104.97289535154316,102.87194767577158,100.771,98.67005232422842,96.56334862742732,94.46240095165577,92.3614532758842,90.2605056001126,89.3871544034287,88.5161894122002,87.64522442097173,86.77425942974324,85.90090823305933,84.11838965255694,82.33587107205456,80.55335249155216,78.76595029850046,76.98343171799807,73.79301103985482,70.60259036171156,67.40342880499804,64.21300812685479,61.022587448711526,58.35689544609183,55.68390017771152,53.01820817509181,50.352516172472114,47.686824169852414,45.823523013725776,43.96531284436451,42.10710267500325,40.24889250564199,38.38559134951535,36.89394036351927,35.40228937752318,33.9106383915271,32.414900690500886,30.923249704504805,30.50768370260332,30.09211770070183,29.67541316180883,29.259847159907345,28.844281158005856,28.40371154467393,27.961934891305475,27.521365277973548,27.08079566464162,26.640226051309693,26.344335646724183,26.04925368586705,25.754171725009925,25.459089764152797,25.163199359567287,24.86041447843305,24.557629597298817,24.25484471616458,23.9512302874108,23.648445406276565,23.32380433533069,22.999163264384816,22.673632765847312,22.34899169490144,22.024350623955563,21.71992944321336,21.414674231838987,21.110253051096784,20.80583187035458,20.501410689612374,20.27916157824482,20.057519704886467,19.835877831528112,19.61423595816976,19.3919868468022,19.20495633399388,19.017925821185557,18.83089530837723,18.64335238320505,18.456321870396724,18.22488855213698,17.993455233877242,17.761387851731854,17.529954533472115,17.29852121521237,17.029464679365482,16.759671002324495,16.490614466477606,16.22155793063072,15.95250139478383
low,U,SSP1BL,include,NDC Factsheet,12Nov2021a_CR,2021-11-09_1,World,2021-11-09_1__low__U__SSP1BL__include,Mt VOC / yr,AR6 climate diagnostics|Infilled|Emissions|VOC,258.4300673381797,256.3468889031051,254.2694022123886,252.1919155216721,250.1144288309557,248.03125039588105,245.95376370516456,243.87627701444808,241.7987903237316,239.715611888657,237.63812519794047,235.56063850722404,233.4831518165076,231.39997338143297,229.3224866907165,227.245,225.16751330928352,223.0843348742089,221.00684818349245,218.929361492776,216.85187480205948,216.6511556269788,216.4509848649448,216.25081410291077,216.05064334087672,215.84992416579604,214.20223159719225,212.55453902858844,210.90684645998465,209.25463966516548,207.60694709656167,203.5671532094824,199.5273593224031,195.47649750686605,191.4367036197868,187.39690973270748,184.04608742742687,180.6860847870633,177.3352624817827,173.9844401765021,170.63361787122147,167.39169314853845,164.158626143677,160.92555913881552,157.69249213395406,154.45056741127104,152.01412614379524,149.5776848763194,147.1412436088436,144.69812715981303,142.26168589233723,141.6043127140387,140.9469395357402,140.28776533503537,139.63039215673683,138.97301897843832,138.20912954612243,137.44314726604676,136.67925783373084,135.91536840141495,135.15147896909906,134.0519691422148,132.9554634405406,131.8589577388664,130.7624520371922,129.66294221030793,129.02292015422148,128.38289809813503,127.74287604204856,127.10110050087694,126.46107844479047,125.16541604864292,123.86975365249536,122.57054149635832,121.27487910021075,119.9792167040632,119.3810131067461,118.78117059546372,118.18296699814664,117.58476340082952,116.98655980351243,116.63680241971628,116.28800065718735,115.93919889465845,115.59039713212948,115.24063974833336,114.4728231521508,113.70500655596824,112.93718995978573,112.16726975649031,111.3994531603078,110.07141140701049,108.7433696537132,107.41168942985892,106.08364767656164,104.75560592326433,104.01570829514334,103.27378355023298,102.533885922112,101.793988293991,101.05409066587
