conditionality,model,region,scenario,unit,variable,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00,2020-01-01 00:00:00,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,2026-01-01 00:00:00,2027-01-01 00:00:00,2028-01-01 00:00:00,2029-01-01 00:00:00,2030-01-01 00:00:00,2031-01-01 00:00:00,2032-01-01 00:00:00,2033-01-01 00:00:00,2034-01-01 00:00:00,2035-01-01 00:00:00,2036-01-01 00:00:00,2037-01-01 00:00:00,2038-01-01 00:00:00,2039-01-01 00:00:00,2040-01-01 00:00:00,2041-01-01 00:00:00,2042-01-01 00:00:00,2043-01-01 00:00:00,2044-01-01 00:00:00,2045-01-01 00:00:00,2046-01-01 00:00:00,2047-01-01 00:00:00,2048-01-01 00:00:00,2049-01-01 00:00:00,2050-01-01 00:00:00
U,NDC Factsheets,World,unspecified,N/A,NDC Countries | Low NDC | NDC Sectors excl. LULUCF ,32961.0,33144.0,33748.0,35185.0,36571.0,37624.0,38659.0,39657.0,40318.0,39693.0,41509.0,42745.0,43319.0,43662.0,44299.0,44445.0,44550.0,45132.0,45859.0,46058.0,46437.0,46881.0,47325.0,47769.0,48213.0,48657.0,48776.0,48896.0,49016.0,49135.0,49255.0,31538.0,30403.0,29268.0,28134.0,26999.0,25864.0,24730.0,23595.0,22460.0,21326.0,20191.0,19056.0,17922.0,16787.0,15652.0,14518.0,13383.0,12248.0,11114.0,9979.0
U,NDC Factsheets,World,unspecified,N/A,NDC Countries | High NDC | NDC Sectors excl. LULUCF,32961.0,33144.0,33748.0,35185.0,36571.0,37624.0,38659.0,39657.0,40318.0,39693.0,41509.0,42745.0,43319.0,43662.0,44299.0,44445.0,44550.0,45132.0,45859.0,46058.0,46314.0,46636.0,46957.0,47278.0,47599.0,47920.0,47963.0,48008.0,48053.0,48098.0,48143.0,30849.0,29597.0,28345.0,27093.0,25841.0,24589.0,23337.0,22085.0,20833.0,19581.0,18329.0,17077.0,15825.0,14573.0,13321.0,12068.0,10816.0,9564.0,8312.0,7060.0
U,NDC Factsheets,World,unspecified,N/A,NDC Countries | Low NDC | Total excl. LULUCF,34466.0,34700.0,35310.0,36843.0,38314.0,39467.0,40570.0,41571.0,42307.0,41818.0,43648.0,45036.0,45745.0,46134.0,46791.0,46874.0,46930.0,47493.0,48224.0,48509.0,49004.0,49571.0,50138.0,50705.0,51272.0,51839.0,52065.0,52292.0,52518.0,52744.0,52971.0,52361.0,51738.0,51114.0,50489.0,49863.0,49236.0,48608.0,47979.0,47349.0,46718.0,46086.0,45453.0,44819.0,44184.0,43548.0,42912.0,42274.0,41636.0,40997.0,40357.0
U,NDC Factsheets,World,unspecified,N/A,NDC Countries | High NDC | Total excl. LULUCF,34466.0,34700.0,35310.0,36843.0,38314.0,39467.0,40570.0,41571.0,42307.0,41818.0,43648.0,45036.0,45745.0,46134.0,46791.0,46874.0,46930.0,47493.0,48224.0,48509.0,48881.0,49325.0,49769.0,50214.0,50658.0,51102.0,51253.0,51404.0,51555.0,51706.0,51856.0,51080.0,50291.0,49500.0,48709.0,47916.0,47123.0,46328.0,45532.0,44736.0,43938.0,43139.0,42340.0,41539.0,40738.0,39935.0,39132.0,38328.0,37523.0,36717.0,35911.0
U,NDC Factsheets,World,unspecified,N/A,World | Low NDC | Total excl. LULUCF,35595.0,35788.0,36441.0,37990.0,39553.0,40763.0,41929.0,42994.0,43743.0,43180.0,45086.0,46428.0,47089.0,47449.0,48104.0,48223.0,48321.0,48945.0,49708.0,50009.0,50499.0,51060.0,51622.0,52184.0,52745.0,53307.0,53528.0,53749.0,53970.0,54192.0,54413.0,53798.0,53170.0,52541.0,51911.0,51280.0,50647.0,50014.0,49380.0,48744.0,48108.0,47471.0,46833.0,46193.0,45553.0,44912.0,44270.0,43628.0,42984.0,42340.0,41695.0
U,NDC Factsheets,World,unspecified,N/A,World | High NDC | Total excl. LULUCF,35595.0,35788.0,36441.0,37990.0,39553.0,40763.0,41929.0,42994.0,43743.0,43180.0,45086.0,46428.0,47089.0,47449.0,48104.0,48223.0,48321.0,48945.0,49708.0,50009.0,50376.0,50815.0,51254.0,51693.0,52131.0,52570.0,52716.0,52862.0,53007.0,53153.0,53299.0,52517.0,51722.0,50927.0,50130.0,49333.0,48534.0,47734.0,46933.0,46131.0,45328.0,44524.0,43719.0,42914.0,42107.0,41299.0,40491.0,39681.0,38871.0,38060.0,37249.0
U,NDC Factsheets,World,unspecified,N/A,World | Low NDC | CO2 excl. LULUCF,25662.0,25838.0,26436.0,27737.0,29010.0,30008.0,31020.0,31961.0,32592.0,32077.0,33741.0,34768.0,35238.0,35533.0,36017.0,36110.0,36154.0,36661.0,37273.0,37513.0,37800.0,38130.0,38463.0,38799.0,39138.0,39481.0,39635.0,39791.0,39950.0,40111.0,40275.0,39687.0,39092.0,38496.0,37898.0,37300.0,36701.0,36101.0,35501.0,34899.0,34297.0,33694.0,33090.0,32485.0,31880.0,31274.0,30667.0,30059.0,29451.0,28842.0,28233.0
U,NDC Factsheets,World,unspecified,N/A,World | High NDC | CO2 excl. LULUCF,25662.0,25838.0,26436.0,27737.0,29010.0,30008.0,31020.0,31961.0,32592.0,32077.0,33741.0,34768.0,35238.0,35533.0,36017.0,36110.0,36154.0,36661.0,37273.0,37513.0,37713.0,37955.0,38200.0,38448.0,38699.0,38953.0,39047.0,39144.0,39243.0,39344.0,39447.0,38721.0,37987.0,37252.0,36517.0,35780.0,35043.0,34304.0,33565.0,32825.0,32084.0,31343.0,30600.0,29857.0,29113.0,28369.0,27624.0,26877.0,26131.0,25383.0,24635.0
U,NDC Factsheets,World,unspecified,N/A,World | Low NDC | Non-CO2 GHG excl. LULUCF,9933.0,9949.0,10004.0,10254.0,10543.0,10755.0,10908.0,11032.0,11152.0,11103.0,11345.0,11660.0,11851.0,11916.0,12088.0,12114.0,12167.0,12284.0,12435.0,12496.0,12699.0,12930.0,13159.0,13384.0,13607.0,13826.0,13893.0,13958.0,14020.0,14080.0,14138.0,14110.0,14078.0,14045.0,14012.0,13979.0,13946.0,13913.0,13879.0,13845.0,13811.0,13777.0,13743.0,13708.0,13673.0,13639.0,13604.0,13568.0,13533.0,13497.0,13462.0
U,NDC Factsheets,World,unspecified,N/A,World | High NDC | Non-CO2 GHG excl. LULUCF,9933.0,9949.0,10004.0,10254.0,10543.0,10755.0,10908.0,11032.0,11152.0,11103.0,11345.0,11660.0,11851.0,11916.0,12088.0,12114.0,12167.0,12284.0,12435.0,12496.0,12663.0,12860.0,13053.0,13244.0,13432.0,13617.0,13669.0,13718.0,13765.0,13809.0,13851.0,13796.0,13735.0,13674.0,13613.0,13552.0,13491.0,13429.0,13368.0,13306.0,13244.0,13181.0,13119.0,13056.0,12993.0,12930.0,12867.0,12804.0,12741.0,12677.0,12613.0
