model,scenario,label,ambition,conditionality,country_extension,exclude_hot_air,methane_pledges,Category,Category_name,Exceedance Probability 1.5C ,Exceedance Probability 2.0C ,Exceedance Probability 2.5C ,Exceedance Probability 3.0C ,p5 peak warming,p37 peak warming,median peak warming,p67 peak warming,p95 peak warming,p5 year of peak warming,p37 year of peak warming,median year of peak warming,p67 year of peak warming,p95 year of peak warming,p5 warming in 2100,p37 warming in 2100,median warming in 2100,p67 warming in 2100,p95 warming in 2100,harmonization,infilling,climate-models,pipeline
NDC Factsheet,2021-11-09_1__high__C__constant__include,,high,C,constant,include,,C4,C4: Below 2°C,0.893,0.398,0.115,0.015,1.404,1.774,1.898,2.058,2.76,2049,2069,2070,2070,2100,1.294,1.698,1.841,2.027,2.76,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__high__C__rate__exclude,A-rate,high,C,rate,exclude,,C4,C4: Below 2°C,0.908,0.453,0.135,0.03,1.423,1.818,1.951,2.126,2.854,2049,2070,2093,2093,2100,1.359,1.775,1.919,2.111,2.853,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__high__C__2030__exclude,a,high,C,2030,exclude,,C5,C5: Below 2.5°C,0.975,0.693,0.28,0.108,1.609,2.073,2.238,2.442,3.305,2093,2094,2100,2100,2100,1.592,2.07,2.237,2.441,3.305,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__high__C__2030__include,b,high,C,2030,include,,C5,C5: Below 2.5°C,0.99,0.788,0.388,0.135,1.698,2.191,2.362,2.577,3.504,2093,2100,2100,2100,2100,1.683,2.191,2.362,2.575,3.504,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__low__C__rate__include,,low,C,rate,include,,C5,C5: Below 2.5°C,0.97,0.66,0.252,0.093,1.573,2.025,2.188,2.389,3.227,2070,2094,2100,2100,2100,1.553,2.022,2.185,2.387,3.227,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__low__U__2030__exclude,f,low,U,2030,exclude,,C6,C6: Below 3.0°C,1.0,0.94,0.672,0.312,1.979,2.548,2.738,2.977,4.029,2100,2100,2100,2100,2100,1.979,2.548,2.738,2.977,4.029,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__high__U__rate__include,,high,U,rate,include,,C5,C5: Below 2.5°C,0.99,0.788,0.4,0.138,1.701,2.195,2.367,2.584,3.515,2093,2100,2100,2100,2100,1.688,2.195,2.367,2.582,3.515,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__low__C__2030__exclude,c,low,C,2030,exclude,,C5,C5: Below 2.5°C,0.992,0.795,0.412,0.145,1.718,2.217,2.389,2.606,3.541,2093,2100,2100,2100,2100,1.703,2.217,2.389,2.605,3.541,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__high__U__2030__include,g,high,U,2030,include,,C6,C6: Below 3.0°C,1.0,0.975,0.777,0.427,2.116,2.712,2.904,3.164,4.263,2100,2100,2100,2100,2100,2.116,2.712,2.904,3.164,4.263,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__high__U__SSP1BL__exclude,,high,U,SSP1BL,exclude,,C4,C4: Below 2°C,0.92,0.46,0.137,0.03,1.435,1.833,1.966,2.142,2.875,2049,2070,2082,2093,2100,1.368,1.786,1.932,2.125,2.875,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
