GHG emissions (excl. LULUCF),MtCO2eq GWP AR6,NDCs as of 18th November 2021,,,,,
 ,1990,2010,2019,2025 upper,2025 lower,2030 upper,2030 lower
Afghanistan,16.5,38.1,49.4,50.8,47.3,52.8,45.6
Albania,8.1,8.5,9.8,10.7,10.7,11.5,11.5
Algeria,101.9,145,199.4,225.3,204.1,247.1,208.1
Andorra,0.5,0.6,0.5,0.4,0.4,0.3,0.3
Angola,57.2,99.9,103.9,97,91.8,98.9,80.2
Antigua and Barbuda,0.3,0.6,0.6,0.7,0.7,0.8,0.8
Argentina,256,334.3,336.7,338.4,338.4,339.8,339.8
Armenia,9.2,8.6,11.9,14.5,14.5,16.9,16.9
Australia,436.5,547,557.3,519,512.4,468.6,456.4
Austria,80,85.7,81,65.4,65.4,52.3,52.3
Azerbaijan,80.8,57.1,67.8,59.2,59.2,52.1,52.1
Bahamas,2.1,2.8,2.5,2.9,2.2,3.2,1.9
Bahrain,18.1,33.9,32.4,40.4,40.4,46.4,46.4
Bangladesh,53,122.2,171.3,206,206,253.1,253.1
Barbados,1.4,1.7,1.5,1.5,1.2,1.3,0.6
Belarus,140.2,92.5,92.6,100.6,97.6,104.7,99.1
Belgium,147.1,135,118.2,96.8,96.8,78.9,78.9
Belize,0.9,1.4,1.8,2.1,2.1,2.5,2.5
Benin,5.7,12.6,17.2,22.8,22.6,29.9,28.6
Bhutan,1.5,2,2.9,3.4,3.4,3.8,3.8
Bolivia (Plurinational State of),19,85,116.5,145.4,145.4,172.3,172.3
Bosnia and Herzegovina,23.6,31.1,33,27.5,26.9,22.9,21.7
Botswana,13.6,22.9,11.8,13.7,13.7,15.3,15.3
Brazil,654.9,1072.1,1195.5,1457.2,1457.2,1642.9,1311.1
Brunei Darussalam,10.6,14.9,19.8,18,18,16.8,16.8
Bulgaria,100.9,60.5,56.7,46.1,46.1,37.3,37.3
Burkina Faso,14.3,27.8,34.7,47.4,47.4,62.5,62.5
Burundi,2.6,3.6,4.5,6.5,6.1,7.1,6.4
Cabo Verde,0.3,0.9,1,1,0.9,0.9,0.8
Cambodia,18.7,33,46.5,52,50.5,59.2,53.9
Cameroon,30,35,39.6,51.9,51.9,66.8,66.8
Canada,612.2,715.6,742.2,558.7,538.6,458.4,421.5
Central African Republic,18.8,9.4,10.6,10.9,10.6,11.2,10.5
Chad,15.8,50.9,80.5,84.5,75.5,87.9,71.3
Chile,52.7,96.1,115.4,104.3,104.3,95,95
China,3687.3,11110.9,13535.7,14196.4,14196.4,14615.4,14615.4
Colombia,114.9,159.5,195.6,170.8,170.8,150,150
Comoros,0.2,0.4,0.5,0.6,0.5,0.7,0.5
Congo,3.9,6.2,6.8,8.8,5.5,10.4,4.3
Cook Islands,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Costa Rica,9.5,13.7,17.2,14.8,14.8,12.8,12.8
Cote d'Ivoire,14.6,21.7,31.2,29,29,27.1,27.1
Croatia,32.1,28.1,24,23.8,23.8,23.6,23.6
Cuba,51.6,48.5,40.6,47,47,52.7,52.7
Cyprus,5.7,9.6,9,6.9,6.9,5.1,5.1
Czechia,199,141.5,124.6,103.9,103.9,86.7,86.7
Democratic People's Republic of Korea,179.6,75.4,60.4,77,77,90.8,90.8
Democratic Republic of the Congo,63.6,66.4,83.2,104.4,64.1,140,66.1
Denmark,71.5,65.3,46.5,41.2,41.2,36.7,36.7
Djibouti,1.2,1.8,1.8,2.4,1.9,3.1,2.1
Dominica,0.1,0.3,0.3,0.1,0,0.1,0
Dominican Republic,18.2,34.4,41.6,45.1,39.5,48.1,37.7
Ecuador,39.1,66.3,71,70,60.8,69.1,52.3
Egypt,123.6,298.7,361.5,483.3,483.3,607.2,607.2
El Salvador,7.8,12.4,13.6,15.8,15.8,17.9,17.9
Equatorial Guinea,0.1,6,5.8,5.2,5.2,4.8,4.8
Eritrea,4.9,5.6,6.5,7.8,7.7,9.9,9.2
Estonia,42.3,24.4,19.4,14.3,14.3,10.1,10.1
Ethiopia,54.7,103.7,130.2,178.7,178.7,239.3,225.9
Fiji,2,2.6,3.8,3.2,3,2.9,2.5
Finland,71.7,76.7,53.7,49,49,45.2,45.2
France,554.5,523.2,451.6,383.8,383.8,327.4,327.4
Gabon,5.8,6,5.6,6.4,6.4,7.1,7.1
Gambia,1.2,2.4,2.6,3,1.9,4.4,2.8
Georgia,27.5,15,20,19.7,17.1,19.5,14.6
Germany,1252.3,948.3,815.5,637.7,637.7,489.6,489.6
Ghana,12.1,23.9,39.3,57.8,53.8,73.3,65.8
Greece,104.6,120.7,87.9,82.4,82.4,77.7,77.7
Grenada,0.2,0.3,0.4,0.4,0.2,0.4,0.2
Guatemala,16.1,27.3,37.6,44.1,40.6,49.7,43.3
Guinea,10.1,21.9,30.2,41.7,39.2,51.3,46.7
