 , , ,2019 methane emissions (MtCH4/yr),2030 emissions after 30% reduction (MtCH4/yr),Estimated methane emissions covered by NDC in 2030,Estimated methane growth (+) or reduction (-) as part of NDC,,"Potential additional methane pledge reduction (-), if country’s methane emissions are reduced by 30% (MtCH4/yr)",
No,ISO,Name,,,,full NDC implementation,unconditional NDC,full NDC implementation,unconditional NDC
1,BRA,Brazil,16.7,11.7,100%,29%,29%,-7.7,-7.7
2,IRQ,Iraq,5.6,3.9,100%,56%,56%,-4.8,-4.8
3,PAK,Pakistan,7.9,5.5,100%,50%,154%,-4.1,-10.9
4,ETH,Ethiopia,3.2,2.3,100%,73%,96%,-3.4,-4.2
5,VNM,Vietnam,3.8,2.7,100%,48%,85%,-2,-3.1
6,MEX,Mexico,6.1,4.3,100%,9%,33%,-1.8,-3.1
7,BFA,Burkina Faso,0.8,0.6,100%,160%,197%,-1.6,-1.9
8,SAU,Saudi Arabia,2.1,1.5,100%,30%,30%,-1.3,-1.3
9,CMR,Cameroon,0.9,0.6,100%,104%,175%,-1.2,-1.8
10,ARG,Argentina,3.8,2.7,100%,1%,1%,-0.9,-0.9
11,UKR,Ukraine,2.8,2,100%,0%,0%,-0.7,-0.7
12,ZMB,Zambia,0.7,0.5,100%,71%,142%,-0.7,-1.2
13,GHA,Ghana,0.6,0.4,100%,63%,81%,-0.5,-0.6
14,MLI,Mali,0.9,0.6,98%,3%,38%,-0.5,-0.9
15,COD,Democratic Republic of the Congo,2.7,1.9,100%,-13%,4%,-0.5,-0.9
16,ARE,United Arab Emirates,1.9,1.3,100%,-9%,-9%,-0.4,-0.4
17,NPL,Nepal,1.1,0.7,100%,26%,26%,-0.4,-0.4
18,IDN,Indonesia,9.3,6.5,100%,-5%,14%,-0.4,-1.8
19,LBY,Libya,0.5,0.3,0%,0%,0%,-0.4,-0.4
20,BEN,Benin,0.3,0.2,74%,65%,87%,-0.3,-0.4
21,MWI,Malawi,0.3,0.2,64%,19%,69%,-0.3,-0.5
22,TUN,Tunisia,0.4,0.3,100%,42%,88%,-0.3,-0.4
23,KWT,Kuwait,0.4,0.3,100%,21%,21%,-0.2,-0.2
24,SEN,Senegal,0.4,0.3,100%,14%,50%,-0.2,-0.4
25,JPN,Japan,1.1,0.8,100%,-33%,-33%,-0.2,-0.2
26,PER,Peru,1.1,0.8,100%,-8%,7%,-0.1,-0.3
27,GTM,Guatemala,0.4,0.3,100%,11%,28%,-0.1,-0.2
28,PAN,Panama,0.2,0.1,2%,58%,79%,-0.1,-0.1
29,KGZ,Kyrgyzstan,0.3,0.2,100%,10%,38%,-0.1,-0.2
30,CAF,Central African Republic,0.3,0.2,100%,0%,5%,-0.1,-0.1
31,URY,Uruguay,1,0.7,100%,-15%,-3%,-0.1,-0.2
32,JOR,Jordan,0.2,0.2,100%,7%,48%,-0.1,-0.2
33,HND,Honduras,0.2,0.1,100%,27%,52%,-0.1,-0.1
34,CIV,Cote D'Ivoire,0.5,0.4,100%,-13%,-13%,-0.1,-0.1
35,ARM,Armenia,0.1,0.1,100%,50%,50%,-0.1,-0.1
36,ESP,Spain,1.5,1.1,100%,-17%,-17%,-0.1,-0.1
37,SLV,El Salvador,0.1,0.1,0%,0%,0%,-0.1,-0.1
38,RWA,Rwanda,0.2,0.1,100%,2%,38%,-0.1,-0.1
39,GRC,Greece,0.4,0.3,100%,-12%,-12%,0,0
40,GAB,Gabon,0,0,65%,185%,185%,0,0
41,PRT,Portugal,0.4,0.3,100%,-8%,-8%,0,0
42,GUY,Guyana,0.1,0,0%,-100%,45%,0,0
43,LBR,Liberia,0.1,0.1,100%,10%,174%,0,-0.2
44,CHL,Chile,0.6,0.4,100%,-18%,-18%,0,0
45,SWE,Sweden,0.2,0.1,100%,-8%,-8%,0,0
46,ALB,Albania,0.1,0.1,100%,15%,15%,0,0
47,SUR,Suriname,0,0,0%,41%,41%,0,0
48,HRV,Croatia,0.1,0.1,100%,-2%,-2%,0,0
49,GMB,Gambia,0.1,0,100%,10%,112%,0,-0.1
50,FIN,Finland,0.2,0.1,100%,-16%,-16%,0,0
51,DJI,Djibouti,0,0,100%,14%,72%,0,0
52,NGA,Nigeria,6.2,4.3,100%,-28%,9%,0,-2.2
53,JAM,Jamaica,0,0,12%,-27%,-23%,0,0
54,DOM,Dominican Republic,0.5,0.3,100%,-9%,16%,0,-0.1
55,ITA,Italy,1.7,1.2,100%,-23%,-23%,0,0
56,BLZ,Belize,0,0,0%,-9%,-9%,0,0
57,VUT,Vanuatu,0,0,22%,-56%,-22%,0,0
58,GEO,Georgia,0.2,0.2,100%,-26%,-4%,0,-0.1
59,SVN,Slovenia,0.1,0.1,100%,-16%,-16%,0,0
60,SRB,Serbia,0.4,0.3,100%,-21%,-21%,0,0
61,SGP,Singapore,0,0,100%,27%,27%,0,0
62,MNE,Montenegro,0,0,100%,-7%,-7%,0,0
63,ISR,Israel,0.4,0.3,100%,-28%,-28%,0,0
64,FJI,Fiji,0,0,2%,-39%,-22%,0,0
65,LUX,Luxembourg,0,0,100%,-27%,-27%,0,0
66,TON,Tonga,0,0,6%,-50%,-50%,0,0
67,KNA,Kitts & Nevis,0,0,0%,-63%,17%,0,0
68,DNK,Denmark,0.3,0.2,100%,-21%,-21%,0,0
69,NRU,Nauru,0,0,100%,21%,21%,0,0
70,AND,Andorra,0,0,54%,-28%,-28%,0,0
71,USA,United States of America,26.4,18.5,100%,-42%,-42%,0,0
72,BRB,Barbados,0,0,100%,-61%,-15%,0,0
73,BEL,Belgium,0.3,0.2,100%,-33%,-33%,0,0
74,BIH,Bosnia and Herzegovina,0.1,0.1,100%,-35%,-31%,0,0
75,BGR,Bulgaria,0.3,0.2,100%,-34%,-34%,0,0
76,CAN,Canada,3.9,2.7,100%,-32%,-32%,0,0
77,COL,Colombia,2.4,1.7,100%,-23%,-23%,0,0
78,COG,Congo,0.1,0.1,100%,-37%,52%,0,-0.1
79,CRI,Costa Rica,0.2,0.1,100%,-33%,-33%,0,0
80,CYP,Cyprus,0,0,100%,-44%,-44%,0,0
81,ECU,Ecuador,0.9,0.6,100%,-26%,-3%,0,-0.2
82,EST,Estonia,0,0,100%,-48%,-48%,0,0
83,FRA,France,2.3,1.6,100%,-27%,-27%,0,0
84,DEU,Germany,2,1.4,100%,-40%,-40%,0,0
85,GRD,Grenada,0,0,79%,-48%,11%,0,0
86,ISL,Iceland,0,0,100%,-65%,-65%,0,0
87,IRL,Ireland,0.6,0.4,100%,-26%,-26%,0,0
88,KOR,Korea,1.3,0.9,100%,-25%,-25%,0,0
89,MLT,Malta,0,0,100%,-33%,-33%,0,0
90,MHL,Marshall Islands,0,0,100%,-51%,-51%,0,0
91,MCO,Monaco,0,0,100%,-40%,-40%,0,0
92,MAR,Morocco,0.9,0.6,100%,-31%,3%,0,-0.3
93,NLD,Netherlands,0.7,0.5,100%,-37%,-37%,0,0
94,NZL,New Zealand,1.4,1,100%,-35%,-35%,0,0
95,MKD,North Macedonia,0.2,0.1,100%,-53%,-53%,0,0
96,NOR,Norway,0.2,0.1,100%,-53%,-48%,0,0
97,PNG,Papua New Guinea,0.3,0.2,70%,-59%,34%,0,-0.2
98,PHL,Philippines,3.2,2.2,100%,-137%,39%,0,-1.3
99,CHE,Switzerland,0.2,0.1,100%,-42%,-42%,0,0
100,TGO,Togo,0.2,0.1,100%,-38%,-1%,0,-0.1
101,GBR,United Kingdom,2,1.4,100%,-42%,-42%,0,0
,,Total,,,,,,-36.7,-56.3
